"Jahr"	"Schweiz"	"Italien"	"Portugal"	"Spanien"	"Türkei"	"Ehemaliges Jugoslawien"
"2001"	8.07	15.81	4.28	10.50	10.03	9.58
"2002"	8.48	16.50	4.30	11.37	12.28	11.11
"2003"	8.75	16.67	4.81	12.09	13.34	11.99
"2004"	8.87	16.81	4.58	12.67	14.15	13.17
"2005"	9.02	16.76	4.97	13.50	14.62	13.83
"2006"	9.00	16.46	4.50	13.79	15.04	13.88
"2007"	8.99	15.95	4.33	14.32	16.05	14.81
"2008"	8.91	15.66	4.02	14.49	16.98	16.08
"2009"	9.26	13.86	3.60	13.54	14.16	13.65
"2010"	9.09	13.41	3.71	13.13	13.71	13.65
"2011"	9.06	12.91	3.38	12.04	13.63	13.23
"2012"	8.73	12.18	3.21	10.91	13.19	12.87
"2013"	8.54	10.83	2.88	9.28	12.56	12.22
"2014"	8.31	10.02	2.90	8.32	12.22	11.78
"2015"	8.15	9.18	2.91	7.62	11.97	11.29
"2016"	8.03	8.56	2.82	7.18	11.96	10.59
"2017"	7.96	8.21	2.80	6.26	11.83	10.12

