Jahr	Sehr gut	Eher gut	Eher nicht so gut	Gar nicht gut	Weiss nicht/Keine Angabe	Total
2015 Total	313	585	87	11	5	1001
2015 Schweiz	276	522	74	7	5	1001
2015 Ausland	37	63	13	4	0	1001
. 						
2011 Total	318	562	97	29	3	1009
2011 Schweiz	283	485	81	22	2	1009
2011 Ausland	35	77	16	7	1	1009
..  						
2007 Total	151	499	98	12	2	762
2007 Schweiz	136	433	80	8	2	762
2007 Ausland	15	66	18	4	0	762
...   						
2005 Total	145	513	100	21	3	782
2005 Schweiz	122	454	79	18	2	782
2005 Ausland	23	59	21	3	1	782
....   						
2003 Total	314	926	212	31	14	1497
2003 Schweiz	288	792	178	24	9	1497
2003 Ausland	26	134	34	7	5	1497
