Jahr	Sehr	Eher	Eher nicht	Gar nicht	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	308	517	309	157	0	0
2003: Ausland	20	69	61	56	0	0
2003: Total	328	586	370	213	0	0
2005						
2005: Schweiz	370	548	272	110	0	0
2005: Ausland	24	87	53	46	0	0
2005: Total	394	635	325	156	0	0
2007						
2007: Schweiz	339	545	303	144	0	0
2007: Ausland	18	58	52	50	0	0
2007: Total	357	603	355	194	0	0
2011						
2011: Schweiz	383	540	292	84	3	0
2011: Ausland	45	78	56	34	1	0
2011: Total	428	618	348	118	4	0
2015						
2015: Schweiz	418	575	264	72	4	0
2015: Ausland	28	72	49	21	3	0
2015: Total	446	647	313	93	7	0
2019						
2019: Schweiz	283	666	500	152	16	18
2019: Ausland	31	113	190	95	15	3
2019: Total	317	784	694	252	31	30

