"Wohnviertel_ID"	"wohnviertel_name_new"	"Ausländeranteil"	"Staatsangehörigkeit"	"Deutschland"	"Italien"	"Türkei"	"Serbien, Montenegro, Kosovo"	"Spanien"	"Übrige"
1	Altstadt Grossbasel	0.3080149115	0.1	0.2950075643	0.0892586989	0.0257186082	0.0045385779	0.0544629349	0.5310136157
2	Vorstädte	0.3851364814	0.1	0.2193481635	0.1132953958	0.0294878427	0.0201758924	0.0755302638	0.5421624418
3	Am Ring	0.3736510791	0.1	0.2308062575	0.1215403129	0.0281588448	0.0238267148	0.06377858	0.53188929
4	Breite	0.3437985356	0.1	0.2042594385	0.1197160374	0.09196515	0.0661503711	0.0509841884	0.4669248145
5	St. Alban	0.349566263	0.1	0.2012285012	0.0948402948	0.0565110565	0.0201474201	0.058968059	0.5683046683
6	Gundeldingen	0.3970792026	0.1	0.2060402685	0.1289932886	0.1275167785	0.0828187919	0.0511409396	0.4034899329
7	Bruderholz	0.250930752	0.1	0.313268334	0.1064010174	0.0296735905	0.0161085206	0.0411191183	0.4934294192
8	Bachletten	0.2240609211	0.1	0.3196078431	0.1104575163	0.0405228758	0.0294117647	0.0460784314	0.4539215686
9	Gotthelf	0.2859608746	0.1	0.2957746479	0.1217303823	0.03722334	0.0362173038	0.0578470825	0.4512072435
10	Iselin	0.3785671995	0.1	0.1692211448	0.1429465124	0.1249609008	0.0650609947	0.0609946825	0.4368157648
11	St. Johann	0.4338775063	0.1	0.1886363636	0.1125	0.1034090909	0.0642676768	0.0621212121	0.4690656566
12	Altstadt Kleinbasel	0.3835616438	0.1	0.2283549784	0.1277056277	0.0357142857	0.0487012987	0.0562770563	0.5032467532
13	Clara	0.4695226438	0.1	0.157455683	0.1272158498	0.0542231491	0.0948905109	0.0625651721	0.503649635
14	Wettstein	0.3216289593	0.1	0.307259426	0.1378728194	0.0371412493	0.0275745639	0.061339336	0.4288126055
15	Hirzbrunnen	0.2522522523	0.1	0.2610544218	0.1347789116	0.1143707483	0.0607993197	0.0505952381	0.3784013605
16	Rosental	0.5591355078	0.1	0.1595921271	0.0858430164	0.0837087977	0.0706663505	0.0460042684	0.5541854399
17	Matthäus	0.5014729951	0.1	0.1762402089	0.1125326371	0.0925587467	0.0835509138	0.0518276762	0.4832898172
18	Klybeck	0.5185850491	0.1	0.1145750067	0.1468158806	0.1361577405	0.0892619238	0.0618172129	0.4513722355
19	Kleinhüningen	0.4699785561	0.1	0.1300380228	0.1536121673	0.1231939163	0.0996197719	0.0395437262	0.4539923954
20	Riehen	0.2711374341	0.1	0.4201926385	0.0990712074	0.0479876161	0.0328517372	0.029755762	0.3701410389
30	Bettingen	0.2525423729	0.1	0.5738255034	0.067114094	0.0067114094	0.0067114094	0.0234899329	0.322147651
