JAHR	Wohnviertel_Id	Wohnviertel_Name	Altersgruppe	Schweizerinnen	Schweizer	Ausländerinnen	Ausländer
2023	1	Altstadt Grossbasel	0-4	19	19	7	11
2023	1	Altstadt Grossbasel	5-9	30	26	10	8
2023	1	Altstadt Grossbasel	10-14	24	16	12	10
2023	1	Altstadt Grossbasel	15-19	28	28	9	13
2023	1	Altstadt Grossbasel	20-24	54	51	37	31
2023	1	Altstadt Grossbasel	25-29	65	76	45	54
2023	1	Altstadt Grossbasel	30-34	54	73	59	51
2023	1	Altstadt Grossbasel	35-39	48	56	48	46
2023	1	Altstadt Grossbasel	40-44	37	62	32	47
2023	1	Altstadt Grossbasel	45-49	58	69	43	48
2023	1	Altstadt Grossbasel	50-54	46	70	33	51
2023	1	Altstadt Grossbasel	55-59	83	83	31	46
2023	1	Altstadt Grossbasel	60-64	78	91	16	36
2023	1	Altstadt Grossbasel	65-69	59	69	11	16
2023	1	Altstadt Grossbasel	70-74	63	73	5	4
2023	1	Altstadt Grossbasel	75-79	47	48	3	1
2023	1	Altstadt Grossbasel	80-84	42	32	0	4
2023	1	Altstadt Grossbasel	85-89	30	21	1	0
2023	1	Altstadt Grossbasel	90-94	16	6	2	0
2023	1	Altstadt Grossbasel	95-99	2	1	0	0
2023	1	Altstadt Grossbasel	100+	1	0	0	0
2023	2	Vorstädte	0-4	41	31	27	43
2023	2	Vorstädte	5-9	25	35	34	47
2023	2	Vorstädte	10-14	30	41	40	34
2023	2	Vorstädte	15-19	35	31	48	36
2023	2	Vorstädte	20-24	106	57	50	52
2023	2	Vorstädte	25-29	100	96	109	114
2023	2	Vorstädte	30-34	93	91	130	150
2023	2	Vorstädte	35-39	61	69	133	112
2023	2	Vorstädte	40-44	68	79	109	126
2023	2	Vorstädte	45-49	61	81	94	117
2023	2	Vorstädte	50-54	68	85	75	78
2023	2	Vorstädte	55-59	99	139	73	73
2023	2	Vorstädte	60-64	112	112	32	52
2023	2	Vorstädte	65-69	91	82	13	24
2023	2	Vorstädte	70-74	120	78	19	19
2023	2	Vorstädte	75-79	121	92	11	16
2023	2	Vorstädte	80-84	119	64	11	5
2023	2	Vorstädte	85-89	76	33	3	5
2023	2	Vorstädte	90-94	40	23	3	2
2023	2	Vorstädte	95-99	20	5	1	1
2023	2	Vorstädte	100+	4	0	0	0
2023	3	Am Ring	0-4	134	131	99	103
2023	3	Am Ring	5-9	127	125	95	92
2023	3	Am Ring	10-14	124	126	76	75
2023	3	Am Ring	15-19	134	108	64	71
2023	3	Am Ring	20-24	270	200	149	104
2023	3	Am Ring	25-29	269	238	300	283
2023	3	Am Ring	30-34	208	181	327	303
2023	3	Am Ring	35-39	216	225	285	280
2023	3	Am Ring	40-44	184	197	266	258
2023	3	Am Ring	45-49	181	186	183	196
2023	3	Am Ring	50-54	176	192	118	167
2023	3	Am Ring	55-59	204	201	111	122
2023	3	Am Ring	60-64	259	207	67	99
2023	3	Am Ring	65-69	203	196	47	48
2023	3	Am Ring	70-74	240	186	23	41
2023	3	Am Ring	75-79	239	176	25	27
2023	3	Am Ring	80-84	196	108	24	16
2023	3	Am Ring	85-89	149	85	19	13
2023	3	Am Ring	90-94	103	37	4	3
2023	3	Am Ring	95-99	47	10	2	0
2023	3	Am Ring	100+	12	1	1	0
2023	4	Breite	0-4	119	132	76	94
2023	4	Breite	5-9	93	97	79	73
2023	4	Breite	10-14	79	98	72	64
2023	4	Breite	15-19	88	113	41	72
2023	4	Breite	20-24	171	132	85	76
2023	4	Breite	25-29	236	233	162	136
2023	4	Breite	30-34	228	249	217	224
2023	4	Breite	35-39	194	195	241	224
2023	4	Breite	40-44	177	151	174	179
2023	4	Breite	45-49	145	137	158	152
2023	4	Breite	50-54	177	163	110	121
2023	4	Breite	55-59	227	162	81	107
2023	4	Breite	60-64	235	183	73	85
2023	4	Breite	65-69	179	162	48	52
2023	4	Breite	70-74	192	120	38	37
2023	4	Breite	75-79	171	117	25	24
2023	4	Breite	80-84	176	101	29	21
2023	4	Breite	85-89	132	69	6	11
2023	4	Breite	90-94	86	21	7	1
2023	4	Breite	95-99	21	4	0	1
2023	4	Breite	100+	4	0	0	0
2023	5	St. Alban	0-4	164	170	152	150
2023	5	St. Alban	5-9	134	162	176	168
2023	5	St. Alban	10-14	144	169	152	129
2023	5	St. Alban	15-19	165	150	83	108
2023	5	St. Alban	20-24	219	194	71	80
2023	5	St. Alban	25-29	238	220	155	158
2023	5	St. Alban	30-34	217	219	250	232
2023	5	St. Alban	35-39	224	185	326	290
2023	5	St. Alban	40-44	197	208	306	265
2023	5	St. Alban	45-49	191	188	244	250
2023	5	St. Alban	50-54	218	191	167	177
2023	5	St. Alban	55-59	278	221	131	125
2023	5	St. Alban	60-64	263	208	66	106
2023	5	St. Alban	65-69	254	207	43	39
2023	5	St. Alban	70-74	232	182	35	34
2023	5	St. Alban	75-79	270	198	27	32
2023	5	St. Alban	80-84	303	187	20	24
2023	5	St. Alban	85-89	262	127	16	7
2023	5	St. Alban	90-94	178	62	5	7
2023	5	St. Alban	95-99	61	17	2	1
2023	5	St. Alban	100+	7	1	0	0
2023	6	Gundeldingen	0-4	228	255	166	180
2023	6	Gundeldingen	5-9	162	201	174	182
2023	6	Gundeldingen	10-14	160	152	124	137
2023	6	Gundeldingen	15-19	188	187	96	81
2023	6	Gundeldingen	20-24	396	328	151	163
2023	6	Gundeldingen	25-29	681	510	379	352
2023	6	Gundeldingen	30-34	608	614	537	508
2023	6	Gundeldingen	35-39	448	489	470	492
2023	6	Gundeldingen	40-44	335	379	389	408
2023	6	Gundeldingen	45-49	274	296	292	351
2023	6	Gundeldingen	50-54	298	282	259	282
2023	6	Gundeldingen	55-59	379	322	240	255
2023	6	Gundeldingen	60-64	320	293	192	215
2023	6	Gundeldingen	65-69	334	285	121	141
2023	6	Gundeldingen	70-74	282	247	100	89
2023	6	Gundeldingen	75-79	234	187	72	67
2023	6	Gundeldingen	80-84	195	108	41	58
2023	6	Gundeldingen	85-89	174	79	37	22
2023	6	Gundeldingen	90-94	90	47	10	9
2023	6	Gundeldingen	95-99	32	7	4	1
2023	6	Gundeldingen	100+	3	2	0	0
2023	7	Bruderholz	0-4	154	161	60	67
2023	7	Bruderholz	5-9	205	210	86	96
2023	7	Bruderholz	10-14	216	214	86	86
2023	7	Bruderholz	15-19	187	216	40	65
2023	7	Bruderholz	20-24	175	165	25	34
2023	7	Bruderholz	25-29	137	157	43	47
2023	7	Bruderholz	30-34	150	145	102	60
2023	7	Bruderholz	35-39	187	160	137	124
2023	7	Bruderholz	40-44	203	193	182	138
2023	7	Bruderholz	45-49	244	197	129	145
2023	7	Bruderholz	50-54	249	215	96	109
2023	7	Bruderholz	55-59	288	274	76	95
2023	7	Bruderholz	60-64	264	255	51	59
2023	7	Bruderholz	65-69	254	229	31	30
2023	7	Bruderholz	70-74	230	187	26	23
2023	7	Bruderholz	75-79	215	179	15	19
2023	7	Bruderholz	80-84	187	119	12	19
2023	7	Bruderholz	85-89	125	77	12	7
2023	7	Bruderholz	90-94	78	46	1	1
2023	7	Bruderholz	95-99	22	13	1	0
2023	7	Bruderholz	100+	4	0	0	0
2023	8	Bachletten	0-4	250	260	78	77
2023	8	Bachletten	5-9	243	274	85	103
2023	8	Bachletten	10-14	238	237	92	75
2023	8	Bachletten	15-19	213	269	50	55
2023	8	Bachletten	20-24	253	241	66	54
2023	8	Bachletten	25-29	321	268	122	103
2023	8	Bachletten	30-34	317	270	170	168
2023	8	Bachletten	35-39	317	289	203	191
2023	8	Bachletten	40-44	299	275	218	198
2023	8	Bachletten	45-49	339	247	140	152
2023	8	Bachletten	50-54	345	313	117	114
2023	8	Bachletten	55-59	461	355	108	113
2023	8	Bachletten	60-64	449	376	75	91
2023	8	Bachletten	65-69	396	299	33	43
2023	8	Bachletten	70-74	373	273	22	32
2023	8	Bachletten	75-79	321	223	21	18
2023	8	Bachletten	80-84	266	157	18	22
2023	8	Bachletten	85-89	181	108	19	10
2023	8	Bachletten	90-94	91	41	2	2
2023	8	Bachletten	95-99	29	12	4	1
2023	8	Bachletten	100+	3	1	0	0
2023	9	Gotthelf	0-4	90	116	53	44
2023	9	Gotthelf	5-9	107	97	61	46
2023	9	Gotthelf	10-14	109	107	42	29
2023	9	Gotthelf	15-19	113	125	29	26
2023	9	Gotthelf	20-24	117	116	40	26
2023	9	Gotthelf	25-29	162	115	114	94
2023	9	Gotthelf	30-34	192	148	152	127
2023	9	Gotthelf	35-39	157	139	131	132
2023	9	Gotthelf	40-44	152	115	121	122
2023	9	Gotthelf	45-49	143	139	95	93
2023	9	Gotthelf	50-54	160	123	84	92
2023	9	Gotthelf	55-59	181	176	56	77
2023	9	Gotthelf	60-64	172	158	45	44
2023	9	Gotthelf	65-69	195	138	22	31
2023	9	Gotthelf	70-74	188	115	17	18
2023	9	Gotthelf	75-79	163	92	20	14
2023	9	Gotthelf	80-84	120	86	16	17
2023	9	Gotthelf	85-89	88	45	17	17
2023	9	Gotthelf	90-94	69	22	6	4
2023	9	Gotthelf	95-99	27	2	0	1
2023	9	Gotthelf	100+	3	2	0	0
2023	10	Iselin	0-4	245	264	186	164
2023	10	Iselin	5-9	244	233	174	190
2023	10	Iselin	10-14	211	220	151	151
2023	10	Iselin	15-19	216	226	105	138
2023	10	Iselin	20-24	435	338	185	192
2023	10	Iselin	25-29	497	387	352	290
2023	10	Iselin	30-34	445	441	480	395
2023	10	Iselin	35-39	361	345	408	438
2023	10	Iselin	40-44	330	305	316	342
2023	10	Iselin	45-49	259	272	291	290
2023	10	Iselin	50-54	315	259	229	259
2023	10	Iselin	55-59	424	385	210	241
2023	10	Iselin	60-64	421	337	148	170
2023	10	Iselin	65-69	329	252	115	118
2023	10	Iselin	70-74	304	226	84	83
2023	10	Iselin	75-79	264	167	55	47
2023	10	Iselin	80-84	203	134	41	45
2023	10	Iselin	85-89	144	62	24	21
2023	10	Iselin	90-94	79	38	11	4
2023	10	Iselin	95-99	12	3	2	0
2023	10	Iselin	100+	2	1	0	0
2023	11	St. Johann	0-4	265	278	171	213
2023	11	St. Johann	5-9	258	252	213	202
2023	11	St. Johann	10-14	245	236	143	194
2023	11	St. Johann	15-19	279	231	134	121
2023	11	St. Johann	20-24	488	340	202	199
2023	11	St. Johann	25-29	513	459	439	399
2023	11	St. Johann	30-34	500	477	525	487
2023	11	St. Johann	35-39	370	372	463	467
2023	11	St. Johann	40-44	350	332	420	484
2023	11	St. Johann	45-49	260	322	329	396
2023	11	St. Johann	50-54	300	316	264	298
2023	11	St. Johann	55-59	359	329	212	286
2023	11	St. Johann	60-64	374	324	177	198
2023	11	St. Johann	65-69	296	279	133	131
2023	11	St. Johann	70-74	234	214	83	82
2023	11	St. Johann	75-79	236	169	70	58
2023	11	St. Johann	80-84	219	128	53	39
2023	11	St. Johann	85-89	186	65	25	23
2023	11	St. Johann	90-94	146	48	13	7
2023	11	St. Johann	95-99	52	12	3	1
2023	11	St. Johann	100+	7	2	0	0
2023	12	Altstadt Kleinbasel	0-4	17	20	14	18
2023	12	Altstadt Kleinbasel	5-9	13	16	10	9
2023	12	Altstadt Kleinbasel	10-14	12	17	9	10
2023	12	Altstadt Kleinbasel	15-19	16	26	13	9
2023	12	Altstadt Kleinbasel	20-24	52	45	24	29
2023	12	Altstadt Kleinbasel	25-29	62	61	62	59
2023	12	Altstadt Kleinbasel	30-34	62	68	64	85
2023	12	Altstadt Kleinbasel	35-39	42	60	66	73
2023	12	Altstadt Kleinbasel	40-44	45	53	60	61
2023	12	Altstadt Kleinbasel	45-49	33	47	41	36
2023	12	Altstadt Kleinbasel	50-54	34	46	32	31
2023	12	Altstadt Kleinbasel	55-59	54	50	25	32
2023	12	Altstadt Kleinbasel	60-64	44	57	20	17
2023	12	Altstadt Kleinbasel	65-69	36	58	11	14
2023	12	Altstadt Kleinbasel	70-74	41	64	11	9
2023	12	Altstadt Kleinbasel	75-79	36	43	9	4
2023	12	Altstadt Kleinbasel	80-84	46	17	5	8
2023	12	Altstadt Kleinbasel	85-89	26	16	3	5
2023	12	Altstadt Kleinbasel	90-94	17	5	0	0
2023	12	Altstadt Kleinbasel	95-99	8	1	1	0
2023	12	Altstadt Kleinbasel	100+	1	0	0	0
2023	13	Clara	0-4	21	38	50	39
2023	13	Clara	5-9	28	26	50	42
2023	13	Clara	10-14	25	24	30	24
2023	13	Clara	15-19	35	35	31	35
2023	13	Clara	20-24	76	68	50	49
2023	13	Clara	25-29	103	99	126	105
2023	13	Clara	30-34	63	97	146	171
2023	13	Clara	35-39	62	67	147	157
2023	13	Clara	40-44	56	68	97	125
2023	13	Clara	45-49	37	58	74	74
2023	13	Clara	50-54	56	63	60	79
2023	13	Clara	55-59	60	80	58	65
2023	13	Clara	60-64	81	72	50	58
2023	13	Clara	65-69	68	58	43	38
2023	13	Clara	70-74	75	58	32	38
2023	13	Clara	75-79	70	51	15	31
2023	13	Clara	80-84	83	39	21	11
2023	13	Clara	85-89	60	25	9	6
2023	13	Clara	90-94	25	18	1	4
2023	13	Clara	95-99	15	4	2	0
2023	13	Clara	100+	1	0	0	0
2023	14	Wettstein	0-4	76	72	49	45
2023	14	Wettstein	5-9	65	68	33	41
2023	14	Wettstein	10-14	62	46	32	30
2023	14	Wettstein	15-19	86	100	24	25
2023	14	Wettstein	20-24	117	108	44	40
2023	14	Wettstein	25-29	165	139	104	85
2023	14	Wettstein	30-34	170	152	151	142
2023	14	Wettstein	35-39	135	129	140	137
2023	14	Wettstein	40-44	112	96	99	102
2023	14	Wettstein	45-49	97	105	70	87
2023	14	Wettstein	50-54	104	97	63	69
2023	14	Wettstein	55-59	164	123	55	72
2023	14	Wettstein	60-64	161	128	33	46
2023	14	Wettstein	65-69	130	121	22	15
2023	14	Wettstein	70-74	126	112	17	15
2023	14	Wettstein	75-79	104	79	7	19
2023	14	Wettstein	80-84	89	52	11	6
2023	14	Wettstein	85-89	80	25	7	5
2023	14	Wettstein	90-94	29	9	0	1
2023	14	Wettstein	95-99	6	2	0	0
2023	14	Wettstein	100+	0	0	0	0
2023	15	Hirzbrunnen	0-4	174	183	73	62
2023	15	Hirzbrunnen	5-9	189	201	64	79
2023	15	Hirzbrunnen	10-14	163	205	75	69
2023	15	Hirzbrunnen	15-19	145	190	41	100
2023	15	Hirzbrunnen	20-24	166	171	50	44
2023	15	Hirzbrunnen	25-29	166	190	97	72
2023	15	Hirzbrunnen	30-34	204	207	136	160
2023	15	Hirzbrunnen	35-39	203	193	164	159
2023	15	Hirzbrunnen	40-44	236	208	149	145
2023	15	Hirzbrunnen	45-49	193	177	109	134
2023	15	Hirzbrunnen	50-54	195	205	77	77
2023	15	Hirzbrunnen	55-59	239	187	81	78
2023	15	Hirzbrunnen	60-64	252	202	44	48
2023	15	Hirzbrunnen	65-69	249	190	38	42
2023	15	Hirzbrunnen	70-74	222	172	39	32
2023	15	Hirzbrunnen	75-79	235	170	22	24
2023	15	Hirzbrunnen	80-84	182	117	15	23
2023	15	Hirzbrunnen	85-89	131	85	19	9
2023	15	Hirzbrunnen	90-94	66	29	3	0
2023	15	Hirzbrunnen	95-99	16	2	4	0
2023	15	Hirzbrunnen	100+	3	1	0	0
2023	16	Rosental	0-4	89	82	127	138
2023	16	Rosental	5-9	99	93	105	120
2023	16	Rosental	10-14	80	87	85	111
2023	16	Rosental	15-19	83	63	82	113
2023	16	Rosental	20-24	151	141	128	112
2023	16	Rosental	25-29	186	177	235	230
2023	16	Rosental	30-34	170	175	283	293
2023	16	Rosental	35-39	127	151	292	308
2023	16	Rosental	40-44	115	123	237	272
2023	16	Rosental	45-49	73	86	155	200
2023	16	Rosental	50-54	84	88	113	159
2023	16	Rosental	55-59	87	91	85	114
2023	16	Rosental	60-64	70	71	82	78
2023	16	Rosental	65-69	67	58	49	56
2023	16	Rosental	70-74	46	52	38	38
2023	16	Rosental	75-79	45	34	21	17
2023	16	Rosental	80-84	43	26	7	10
2023	16	Rosental	85-89	37	21	10	1
2023	16	Rosental	90-94	25	5	2	0
2023	16	Rosental	95-99	4	3	0	0
2023	16	Rosental	100+	4	0	0	0
2023	17	Matthäus	0-4	149	144	152	167
2023	17	Matthäus	5-9	122	141	134	142
2023	17	Matthäus	10-14	121	153	125	141
2023	17	Matthäus	15-19	154	167	90	118
2023	17	Matthäus	20-24	296	229	154	173
2023	17	Matthäus	25-29	429	371	391	407
2023	17	Matthäus	30-34	377	396	461	562
2023	17	Matthäus	35-39	277	288	424	506
2023	17	Matthäus	40-44	197	259	316	435
2023	17	Matthäus	45-49	207	210	259	352
2023	17	Matthäus	50-54	204	222	229	287
2023	17	Matthäus	55-59	240	248	225	270
2023	17	Matthäus	60-64	222	265	159	230
2023	17	Matthäus	65-69	214	204	118	144
2023	17	Matthäus	70-74	188	181	99	91
2023	17	Matthäus	75-79	155	124	79	68
2023	17	Matthäus	80-84	114	79	29	44
2023	17	Matthäus	85-89	74	42	21	19
2023	17	Matthäus	90-94	38	10	9	5
2023	17	Matthäus	95-99	18	3	1	1
2023	17	Matthäus	100+	1	1	0	0
2023	18	Klybeck	0-4	55	64	72	70
2023	18	Klybeck	5-9	60	78	97	96
2023	18	Klybeck	10-14	51	82	90	98
