"Alter"	"Tarif Alleinstehend mit Kind u.a."	"Tarif Alleinstehend"	"Tarif Verheiratet"	"Wohnbevölkerung"
0	0	0	0	1874
1	0	0	0	1867
2	0	0	0	1888
3	0	0	0	1852
4	0	0	0	1930
5	0	0	0	1905
6	0	0	0	1844
7	0	0	0	1815
8	0	0	0	1717
9	0	0	0	1787
10	0	0	0	1688
11	0	0	0	1712
12	0	0	0	1623
13	0	0	0	1615
14	0	0	0	1581
15	0	0	0	1554
16	0	0	0	1566
17	0	4	0	1558
18	0	1313	0	1534
19	0	1334	0	1619
20	0	1344	4	1720
21	10	1476	10	2045
22	5	1460	14	2178
23	15	1542	22	2427
24	25	1472	38	2547
25	20	1670	55	2928
26	31	1675	91	3000
27	41	1793	106	3166
28	56	1844	152	3373
29	63	1865	225	3444
30	96	1877	281	3519
31	114	1822	381	3667
32	154	1739	381	3567
33	164	1642	429	3528
34	208	1533	474	3380
35	234	1452	570	3504
36	235	1315	585	3338
37	278	1250	603	3269
38	277	1221	652	3290
39	287	1162	676	3266
40	289	1128	672	3213
41	315	1081	702	3157
42	277	945	619	2842
43	269	942	628	2806
44	278	941	647	2829
45	275	954	639	2791
46	249	880	651	2657
47	253	937	624	2705
48	232	883	572	2532
49	221	898	604	2508
50	185	942	597	2520
51	166	990	616	2542
52	192	1023	660	2693
53	186	1124	584	2737
54	153	1121	631	2718
55	158	1233	687	2894
56	136	1223	674	2847
57	112	1258	680	2901
58	82	1217	685	2738
59	68	1199	662	2639
60	42	1156	621	2536
61	32	1158	675	2593
62	38	1124	584	2367
63	15	1069	609	2248
64	13	1030	586	2170
65	11	1028	591	2171
66	13	877	529	1926
67	5	892	491	1880
68	7	859	491	1852
69	10	877	459	1803
70	0	845	413	1723
71	0	854	472	1777
72	0	861	472	1737
73	0	834	463	1705
74	0	827	396	1635
75	0	785	424	1600
76	0	760	415	1546
77	0	716	409	1471
78	0	751	399	1482
79	0	798	362	1466
80	0	721	335	1363
81	0	679	309	1232
82	0	647	278	1166
83	0	618	250	1088
84	0	632	254	1098
85	0	594	182	952
86	0	596	205	969
87	0	554	168	842
88	0	494	129	725
89	0	495	134	730
90	0	428	104	619
91	0	378	103	542
92	0	354	66	465
93	0	308	40	390
94	0	239	26	292
95	0	176	18	202
96	0	135	11	154
97	0	117	4	127
98	0	67	5	76
99	0	55	0	60
100	0	28	0	29
101	0	16	0	18
102	0	7	0	8
103	0	8	0	9
104	0	0	0	0
105	0	0	0	0
106	0	0	0	0
107	0	0	0	0
108	0	0	0	0
109	0	0	0	0
110	0	0	0	0
111	0	0	0	0
112	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	0






