	 Mittelwert 2007	 Mittelwert Kt. BS 2007	 Mittelwert 2016	 Mittelwert Kt. BS 2016
Altstadt GB	90597	65318	99020	69823
Vorstädte 	86319	65318	103696	69823
Am Ring 	66969	65318	77051	69823
Breite 	53622	65318	56742	69823
St. Alban 	95189	65318	103531	69823
Gundeldingen 	53271	65318	56107	69823
Bruderholz 	113168	65318	125412	69823
Bachletten 	74398	65318	79537	69823
Gotthelf 	65936	65318	63460	69823
Iselin 	51367	65318	51446	69823
St. Johann 	49938	65318	52412	69823
Altstadt KB	53264	65318	61429	69823
Clara 	48506	65318	50801	69823
Wettstein 	68471	65318	76177	69823
Hirzbrunnen 	57488	65318	60768	69823
Rosental 	45360	65318	54494	69823
Matthäus 	48055	65318	51111	69823
Klybeck 	44955	65318	41703	69823
Kleinhüning. 	45914	65318	46046	69823
Riehen 	87608	65318	92220	69823
Bettingen	98079	65318	135547	69823
