	 Median 2006	Median Basel-Stadt 2006	 Median 2015	Median Basel-Stadt 2015
Altstadt GB	49652	48563	51000	49142
Vorstädte 	51549	48563	58511	49142
Am Ring 	49271	48563	52788	49142
Breite 	47250	48563	47242	49142
St. Alban 	58963	48563	61125	49142
Gundeldingen 	45698	48563	47248	49142
Bruderholz 	62653	48563	65114	49142
Bachletten 	56663	48563	57698	49142
Gotthelf 	48999	48563	50790	49142
Iselin 	45797	48563	44777	49142
St. Johann 	42320	48563	41997	49142
Altstadt KB	40455	48563	42122	49142
Clara 	39953	48563	40433	49142
Wettstein 	52238	48563	54256	49142
Hirzbrunnen 	49743	48563	51368	49142
Rosental 	39951	48563	42854	49142
Matthäus 	39377	48563	38545	49142
Klybeck 	41565	48563	37400	49142
Kleinhüning. 	41584	48563	41403	49142
Riehen 	62570	48563	63689	49142
Bettingen	64899	48563	68594	49142
