	 Median 2010	 Median Basel-Stadt 2010	 Median 2019	 Median Basel-Stadt 2019
Altstadt GB	29809	13067	31547	19602
Vorstädte 	27786	13067	41365	19602
Am Ring 	27192	13067	39973	19602
Breite 	11518	13067	14355	19602
St. Alban 	50110	13067	61383	19602
Gundeldingen 	6626	13067	14506	19602
Bruderholz 	51374	13067	64178	19602
Bachletten 	34905	13067	46022	19602
Gotthelf 	20967	13067	28888	19602
Iselin 	8492	13067	9951	19602
St. Johann 	4062	13067	9357	19602
Altstadt KB	6077	13067	13484	19602
Clara 	4041	13067	9212	19602
Wettstein 	20337	13067	33326	19602
Hirzbrunnen 	16760	13067	16884	19602
Rosental 	656	13067	4595	19602
Matthäus 	1602	13067	6600	19602
Klybeck 	498	13067	2354	19602
Kleinhüning. 	1518	13067	3275	19602
Riehen 	45951	13067	57726	19602
Bettingen	67202	13067	92222	19602


