	 Einkommenssteuer 2008	 Einkommenssteuer 2017	 Vermögenssteuer 2008	 Vermögenssteuer 2017	 Anzahl Veranlagungen 2017 (rechte Skala)
Altstadt GB	28019346	27820700	7985212	9755687	1694
Vorstädte 	44900198	50813665	12378201	20298081	3005
Am Ring 	62432573	73269878	11240282	14083333	6177
Breite 	34887879	41890406	2357123	3315229	5605
St. Alban 	100715716	103969420	26048661	38066887	6437
Gundeldingen 	72730522	85842989	4082840	7079874	11457
Bruderholz 	118573380	86463774	73429129	40187114	5126
Bachletten 	86276833	98338941	13357527	18644074	8068
Gotthelf 	42868329	38282582	18496295	19218114	4211
Iselin 	57428098	62277421	3422851	4860168	9790
St. Johann 	57959695	73287949	4708605	6453740	10819
Altstadt KB	11242587	14705898	1673653	2282130	1586
Clara 	14362883	15362130	860580	1300932	2432
Wettstein 	30611863	38719005	4492186	5785855	3413
Hirzbrunnen 	37006451	42440470	3303413	3892223	5419
Rosental 	12279533	23496878	404241	923998	3347
Matthäus 	51881180	58838538	3366942	5260930	8997
Klybeck 	18279412	17102303	609594	808892	3974
Kleinhüning. 	6901710	7798655	277765	344313	1557
Riehen 	144272120	154727070	30755587	48718070	11965
Bettingen	7826270	13203861	1682260	9212413	626
