	 Ertrag 2013	 Ertrag Kt. BS 2013 (rechte Skala)	 Ertrag 2022	 Ertrag Kt. BS 2022 (rechte Skala)
Altstadt GB	36681410	1358831821	45768727	1674651740
Vorstädte 	70984065	1358831821	153852144	1674651740
Am Ring 	93285887	1358831821	97962678	1674651740
Breite 	41596113	1358831821	47819943	1674651740
St. Alban 	127472564	1358831821	159074759	1674651740
Gundeldingen 	86029536	1358831821	107243344	1674651740
Bruderholz 	195059827	1358831821	170325307	1674651740
Bachletten 	104372868	1358831821	127442485	1674651740
Gotthelf 	50932831	1358831821	60285211	1674651740
Iselin 	65753065	1358831821	71182765	1674651740
St. Johann 	73141077	1358831821	90823080	1674651740
Altstadt KB	14252472	1358831821	17590534	1674651740
Clara 	17275084	1358831821	22604927	1674651740
Wettstein 	36968450	1358831821	55574631	1674651740
Hirzbrunnen 	40336093	1358831821	48443937	1674651740
Rosental 	16752028	1358831821	35221216	1674651740
Matthäus 	61448465	1358831821	69927564	1674651740
Klybeck 	19276109	1358831821	19271005	1674651740
Kleinhüning. 	8608508	1358831821	7905656	1674651740
Riehen 	188056159	1358831821	237821930	1674651740
Bettingen	10549210	1358831821	28509897	1674651740




