JAHR	Wohnviertel_id	Wohnviertel	Total	Deutschland	Italien	Türkei	Spanien	Portugal	Nordmazedonien	Jugoslawien	Serbien, Montenegro, Kosovo	Bosnien-Herzegowina	Slowenien	Kroatien	Frankreich	UK	Ukraine	Indien	Schweiz	Übrige Länder
1980	1	Altstadt Grossbasel	2439	63	59	25	47	5	0	17	0	0	0	0	17	8	0	0	2117	81
1981	1	Altstadt Grossbasel	2396	61	55	18	49	16	0	20	0	0	0	0	16	4	0	0	2078	79
1982	1	Altstadt Grossbasel	2428	67	51	27	49	13	0	22	0	0	0	0	12	4	0	1	2103	79
1983	1	Altstadt Grossbasel	2411	72	45	46	44	11	0	23	0	0	0	0	10	3	0	0	2082	75
1984	1	Altstadt Grossbasel	2444	87	43	89	47	3	0	14	0	0	0	0	12	5	0	0	2083	61
1985	1	Altstadt Grossbasel	2463	65	43	108	48	5	0	16	0	0	0	0	9	6	0	1	2085	77
1986	1	Altstadt Grossbasel	2449	65	47	55	41	7	0	18	0	0	0	0	10	9	0	2	2097	98
1987	1	Altstadt Grossbasel	2395	62	50	59	36	6	0	20	0	0	0	0	14	9	0	0	2034	105
1988	1	Altstadt Grossbasel	2423	72	42	61	34	7	0	24	0	0	0	0	9	10	0	1	2061	102
1989	1	Altstadt Grossbasel	2361	71	45	43	33	8	0	29	0	0	0	0	9	8	0	2	2019	94
1990	1	Altstadt Grossbasel	2363	70	45	45	35	5	0	26	0	0	0	0	12	18	0	3	2007	97
1991	1	Altstadt Grossbasel	2327	72	49	28	33	9	0	41	0	0	0	0	9	12	0	3	1966	105
1992	1	Altstadt Grossbasel	2344	80	48	26	38	11	0	33	0	0	0	8	8	15	0	3	1972	102
1993	1	Altstadt Grossbasel	2318	75	50	24	40	12	1	35	0	0	0	12	16	8	0	3	1956	86
1994	1	Altstadt Grossbasel	2300	89	54	23	41	11	8	29	0	2	0	9	9	11	0	3	1927	84
1995	1	Altstadt Grossbasel	2262	98	55	9	40	9	9	21	0	2	0	9	14	14	1	3	1903	75
1996	1	Altstadt Grossbasel	2153	96	58	4	29	5	3	16	0	0	0	0	12	21	1	14	1829	65
1997	1	Altstadt Grossbasel	2150	88	61	3	25	5	5	9	0	0	1	2	12	20	0	15	1823	81
1998	1	Altstadt Grossbasel	2175	98	54	6	26	5	5	8	0	0	1	1	9	20	0	7	1838	97
1999	1	Altstadt Grossbasel	2148	84	55	1	26	7	4	4	0	1	0	1	15	26	0	7	1807	110
2000	1	Altstadt Grossbasel	2122	93	60	5	25	4	2	3	0	0	0	1	16	32	2	6	1757	116
2001	1	Altstadt Grossbasel	2119	92	45	6	24	7	8	5	0	0	0	1	13	31	2	8	1751	126
2002	1	Altstadt Grossbasel	2093	118	39	5	20	6	1	4	0	0	0	0	23	42	1	4	1693	137
2003	1	Altstadt Grossbasel	2088	133	40	9	20	8	1	0	5	0	0	0	25	33	1	7	1672	134
2004	1	Altstadt Grossbasel	2071	136	39	9	18	10	0	0	4	0	1	0	25	31	1	1	1639	157
2005	1	Altstadt Grossbasel	2084	166	38	8	22	7	0	0	2	0	1	1	24	34	0	4	1618	159
2006	1	Altstadt Grossbasel	2036	177	35	8	24	7	0	0	2	0	1	1	24	40	0	9	1554	154
2007	1	Altstadt Grossbasel	2071	192	36	7	23	8	0	0	2	0	1	2	22	39	1	12	1538	188
2008	1	Altstadt Grossbasel	2040	188	42	6	18	10	0	0	3	0	1	2	30	36	3	5	1524	172
2009	1	Altstadt Grossbasel	1981	165	46	1	27	7	0	0	4	0	0	3	22	29	0	2	1495	180
2010	1	Altstadt Grossbasel	1972	164	55	2	23	9	0	0	3	0	0	0	18	44	1	2	1477	174
2011	1	Altstadt Grossbasel	2347	164	63	16	30	14	3	0	7	1	0	1	19	45	1	7	1772	204
2012	1	Altstadt Grossbasel	2426	159	70	12	27	14	3	0	10	1	1	2	20	52	1	7	1820	227
2013	1	Altstadt Grossbasel	2461	170	83	13	27	12	3	0	6	0	0	2	21	57	2	7	1821	237
2014	1	Altstadt Grossbasel	2454	169	70	14	32	18	2	0	9	0	0	3	27	52	3	7	1837	211
2015	1	Altstadt Grossbasel	2470	168	66	16	35	18	2	0	8	0	2	3	30	44	3	6	1846	223
2016	1	Altstadt Grossbasel	2546	194	67	22	41	18	3	0	4	0	2	2	33	44	4	4	1857	251
2017	1	Altstadt Grossbasel	2590	218	67	27	39	19	5	0	6	1	2	2	46	46	4	6	1854	248
2018	1	Altstadt Grossbasel	2599	212	64	30	38	18	6	0	5	0	2	2	49	38	3	5	1869	258
2019	1	Altstadt Grossbasel	2552	204	65	32	39	18	6	0	5	0	3	2	50	40	2	7	1832	247
2020	1	Altstadt Grossbasel	2639	217	64	29	43	20	6	0	5	0	4	3	56	47	2	8	1859	276
2021	1	Altstadt Grossbasel	2668	233	63	34	44	25	6	0	7	0	4	5	61	42	2	8	1837	297
2022	1	Altstadt Grossbasel	2740	230	61	37	51	28	6	0	10	0	4	5	48	47	23	13	1851	326
1980	2	Vorstädte	5998	189	348	46	118	12	0	64	0	0	0	0	81	32	0	9	4872	227
1981	2	Vorstädte	6073	194	334	51	128	18	0	70	0	0	0	0	70	48	0	7	4916	237
1982	2	Vorstädte	6029	202	331	72	139	24	0	86	0	0	0	0	59	37	0	1	4805	273
1983	2	Vorstädte	5964	198	321	95	144	31	0	92	0	0	0	0	62	28	0	1	4749	243
1984	2	Vorstädte	5863	191	292	103	152	27	0	75	0	0	0	0	58	33	0	0	4689	243
1985	2	Vorstädte	5881	176	287	133	149	28	0	65	0	0	0	0	55	17	0	0	4758	213
