Jahr	Ertrag Grundstücksteuern	Ertrag Kapitalsteuern	Ertrag Gewinnsteuern	Veranlagungen (rechte Skala)
2005	22455019	130786769	639379433	9802
2006	23063839	127051351	662809438	9885
2007	23901841	131526059	790091445	10051
2008	15669900	130144479	603782261	10179
2009	12701128	131231240	626110994	10075
2010	13871865	129712441	530571499	10335
2011	15450187	116370771	449178880	10541
2012	16666516	108317154	509340739	10803
2013	16959954	133050144	544278335	10782
2014	17418000	134545000	542697000	10959
