Jahr	Monat	Zimmerzahl	Wohnungen	Total_Wohnungen	Anteil_am_Total_Wohnungen	Wohnviertel_Id	Wohnviertel_name
2018	12	1 Zimmer	262	1455	0.1800687285	1	Altstadt Grossbasel
2018	12	2 Zimmer	386	1455	0.2652920962	1	Altstadt Grossbasel
2018	12	3 Zimmer	353	1455	0.2426116838	1	Altstadt Grossbasel
2018	12	4 Zimmer	248	1455	0.1704467354	1	Altstadt Grossbasel
2018	12	5 Zimmer	117	1455	0.0804123711	1	Altstadt Grossbasel
2018	12	6 u.m. Zimmer	89	1455	0.0611683849	1	Altstadt Grossbasel
2018	12	1 Zimmer	821	3397	0.2416838387	2	Vorstädte
2018	12	2 Zimmer	691	3397	0.2034147777	2	Vorstädte
2018	12	3 Zimmer	909	3397	0.2675890492	2	Vorstädte
2018	12	4 Zimmer	571	3397	0.1680894907	2	Vorstädte
2018	12	5 Zimmer	262	3397	0.0771268767	2	Vorstädte
2018	12	6 u.m. Zimmer	143	3397	0.042095967	2	Vorstädte
2018	12	1 Zimmer	1100	6338	0.1735563269	3	Am Ring
2018	12	2 Zimmer	1348	6338	0.2126853897	3	Am Ring
2018	12	3 Zimmer	1904	6338	0.300410224	3	Am Ring
2018	12	4 Zimmer	1188	6338	0.1874408331	3	Am Ring
2018	12	5 Zimmer	392	6338	0.0618491638	3	Am Ring
2018	12	6 u.m. Zimmer	406	6338	0.0640580625	3	Am Ring
2018	12	1 Zimmer	270	5354	0.0504295854	4	Breite
2018	12	2 Zimmer	1460	5354	0.2726933134	4	Breite
2018	12	3 Zimmer	2698	5354	0.5039223011	4	Breite
2018	12	4 Zimmer	680	5354	0.1270078446	4	Breite
2018	12	5 Zimmer	182	5354	0.0339932761	4	Breite
2018	12	6 u.m. Zimmer	64	5354	0.0119536795	4	Breite
2018	12	1 Zimmer	450	6436	0.0699192045	5	St. Alban
2018	12	2 Zimmer	1242	6436	0.1929770044	5	St. Alban
2018	12	3 Zimmer	2186	6436	0.3396519577	5	St. Alban
2018	12	4 Zimmer	1499	6436	0.2329086389	5	St. Alban
2018	12	5 Zimmer	546	6436	0.0848353014	5	St. Alban
2018	12	6 u.m. Zimmer	513	6436	0.0797078931	5	St. Alban
2018	12	1 Zimmer	1510	11197	0.1348575511	6	Gundeldingen
2018	12	2 Zimmer	2906	11197	0.2595338037	6	Gundeldingen
2018	12	3 Zimmer	4483	11197	0.4003751005	6	Gundeldingen
2018	12	4 Zimmer	1839	11197	0.1642404215	6	Gundeldingen
2018	12	5 Zimmer	367	11197	0.0327766366	6	Gundeldingen
2018	12	6 u.m. Zimmer	92	11197	0.0082164866	6	Gundeldingen
2018	12	1 Zimmer	112	4427	0.0252992998	7	Bruderholz
2018	12	2 Zimmer	477	4427	0.1077479105	7	Bruderholz
2018	12	3 Zimmer	1145	4427	0.2586401626	7	Bruderholz
2018	12	4 Zimmer	1120	4427	0.2529929975	7	Bruderholz
2018	12	5 Zimmer	646	4427	0.1459227468	7	Bruderholz
2018	12	6 u.m. Zimmer	927	4427	0.2093968828	7	Bruderholz
2018	12	1 Zimmer	379	7290	0.0519890261	8	Bachletten
2018	12	2 Zimmer	1071	7290	0.1469135802	8	Bachletten
2018	12	3 Zimmer	2949	7290	0.404526749	8	Bachletten
2018	12	4 Zimmer	1244	7290	0.1706447188	8	Bachletten
2018	12	5 Zimmer	754	7290	0.1034293553	8	Bachletten
2018	12	6 u.m. Zimmer	893	7290	0.1224965706	8	Bachletten
2018	12	1 Zimmer	593	4133	0.1434793128	9	Gotthelf
2018	12	2 Zimmer	965	4133	0.2334865715	9	Gotthelf
