"Alter"	"Schweizer"	"Ausländer"	"Schweizerinnen"	"Ausländerinnen"
"0"	592	360	535	335
"1"	547	422	525	399
"2"	574	399	499	397
"3"	559	437	567	384
"4"	528	420	540	412
"5"	558	377	533	397
"6"	562	407	472	373
"7"	545	380	444	357
"8"	542	393	528	357
"9"	491	379	493	341
"10"	561	328	506	340
"11"	488	306	516	326
"12"	504	292	485	311
"13"	502	321	461	288
"14"	526	289	463	253
"15"	528	286	498	232
"16"	518	280	516	226
"17"	550	235	490	219
"18"	541	247	545	207
"19"	572	241	572	205
"20"	664	252	673	259
"21"	683	260	773	295
"22"	714	313	859	328
"23"	708	392	886	387
"24"	837	444	1029	455
"25"	816	477	951	567
"26"	901	590	974	594
"27"	913	610	1027	712
"28"	968	713	1003	670
"29"	985	755	970	783
"30"	913	833	1016	926
"31"	871	889	924	921
"32"	847	923	945	939
"33"	818	916	823	897
"34"	831	962	840	963
"35"	774	929	768	906
"36"	804	904	765	906
"37"	774	945	772	878
"38"	734	912	781	876
"39"	731	939	708	895
"40"	708	932	722	866
"41"	648	821	631	802
"42"	639	837	664	709
"43"	664	791	668	729
"44"	634	830	718	654
"45"	661	732	607	672
"46"	652	755	672	653
"47"	617	632	704	607
"48"	660	641	687	550
"49"	696	602	731	544
"50"	736	597	706	539
"51"	783	616	832	485
"52"	749	618	878	516
"53"	805	570	871	502
"54"	882	570	979	494
"55"	900	521	1007	448
"56"	920	543	1009	469
"57"	919	506	963	383
"58"	870	487	918	409
"59"	842	443	959	353
"60"	905	429	994	326
"61"	830	352	959	282
"62"	833	319	906	233
"63"	771	288	921	236
"64"	814	316	852	244
"65"	698	252	844	202
"66"	691	225	790	212
"67"	729	198	759	215
"68"	667	197	832	155
"69"	616	171	812	159
"70"	655	169	831	167
"71"	672	162	783	163
"72"	654	161	787	152
"73"	587	149	807	132
"74"	583	148	794	115
"75"	611	111	772	109
"76"	573	109	726	105
"77"	562	122	753	102
"78"	533	111	768	111
"79"	489	93	734	98
"80"	396	120	670	94
"81"	384	93	659	88
"82"	363	70	610	96
"83"	367	74	640	80
"84"	294	56	596	65
"85"	328	54	587	72
"86"	271	47	548	50
"87"	254	26	495	40
"88"	237	29	526	26
"89"	203	20	456	29
"90"	206	19	402	19
"91"	155	15	355	28
"92"	118	7	319	19
"93"	84	4	258	18
"94"	75	2	187	8
"95"	40	1	157	7
"96"	34	2	134	8
"97"	26	2	92	0
"98"	12	0	66	1
"99"	6	0	39	0
"100"	4	0	28	4
"101"	0	0	13	0
"102"	3	0	7	1
"103"	1	0	6	0
"104"	0	0	6	0
"105"	0	0	1	0
"106"	0	0	1	0

