Alter	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
0	5.71	5.44	5.43	5.39	5.37	5.12	5.21	5.10	5.04	4.96
1	3.73	3.55	3.57	3.76	3.64	3.88	3.73	3.60	4.47	3.78
2	4.03	4.12	3.83	3.53	4.19	3.83	3.49	3.61	5.02	3.99
3	4.26	4.09	3.84	4.15	4.03	3.79	4.07	4.12	3.97	4.35
4	3.84	3.64	3.70	3.61	4.02	3.68	3.89	3.66	4.00	4.08
5	3.76	3.60	3.80	4.07	4.32	4.13	3.83	3.61	3.94	3.94
6	4.28	3.86	3.93	3.65	4.15	3.79	4.53	4.57	4.56	4.41
7	3.97	4.08	4.04	4.50	4.15	4.04	3.94	4.67	5.08	3.72
8	5.32	3.90	4.06	4.19	4.61	5.17	3.79	4.34	4.37	5.27
9	4.92	5.45	4.56	4.19	4.76	4.45	3.91	4.41	4.66	6.82
10	5.44	5.05	5.63	5.94	4.75	5.04	4.58	4.07	5.03	4.11
11	6.79	5.57	5.45	6.76	6.97	5.18	5.54	5.61	4.08	5.32
12	6.61	6.58	6.89	6.76	6.69	6.87	8.52	6.81	9.14	7.21
13	8.02	7.36	6.47	7.95	6.96	6.09	6.43	6.95	6.70	6.39
14	6.13	6.52	8.26	7.34	7.06	7.39	8.35	7.25	7.28	8.33
15	6.93	8.18	7.66	6.81	6.66	7.13	7.65	6.43	8.62	7.27
16	7.02	8.65	8.90	6.16	7.18	6.55	6.98	7.19	7.01	7.85
17	8.74	6.69	7.06	6.36	6.40	6.92	6.04	6.56	5.39	6.01
18	4.66	6.65	4.69	4.56	5.24	5.13	4.76	4.09	4.90	4.24
19	4.75	5.70	5.12	5.20	5.06	4.77	4.47	4.75	5.48	5.44
20	4.80	5.69	5.02	5.12	5.18	4.31	4.78	4.41	4.62	3.90
21	4.94	5.82	5.77	5.31	4.62	5.26	4.67	5.26	4.23	4.25
22	4.77	5.12	5.28	5.54	5.12	5.13	4.87	4.71	4.62	4.27
23	5.09	4.82	4.81	5.51	4.96	4.79	4.85	4.73	5.00	4.15
24	5.81	5.68	5.30	5.86	5.14	5.84	4.31	4.85	4.83	4.77
25	5.38	4.81	4.50	5.58	4.69	5.05	5.03	4.79	4.76	4.92
26	4.92	5.35	5.61	5.25	5.09	4.70	4.63	5.29	5.17	4.74
27	5.50	4.90	4.72	5.15	5.26	5.24	5.16	5.10	4.81	4.88
28	5.13	5.23	4.75	5.46	5.11	4.58	5.01	5.09	4.92	4.81
29	5.49	5.24	5.02	5.00	5.08	4.75	4.90	4.65	4.48	4.60
30	5.48	4.95	5.26	4.98	4.93	5.13	5.70	5.02	4.87	4.82
31	5.52	5.38	4.85	4.78	4.70	5.08	5.05	4.95	4.55	4.83
32	4.93	5.08	4.91	5.24	4.71	5.20	5.41	4.85	4.72	4.58
33	4.97	5.52	5.36	4.89	5.11	4.96	4.97	4.87	5.20	4.68
34	5.49	5.12	5.30	4.98	5.34	5.03	5.12	4.69	4.89	4.70
35	5.48	5.66	5.40	4.76	5.20	4.80	4.97	5.01	4.44	5.04
36	5.11	5.29	5.39	5.37	5.09	5.25	5.38	5.04	4.61	5.22
37	5.51	5.43	5.39	5.59	5.12	4.93	5.10	4.78	4.74	5.07
38	5.44	5.32	5.61	6.04	5.38	4.76	4.95	5.08	4.93	4.85
39	5.49	5.70	5.58	5.64	5.36	5.27	5.35	5.11	5.25	5.15
40	5.69	5.89	5.64	5.61	5.02	4.88	5.84	5.24	5.34	5.21
41	6.22	5.81	5.15	5.49	5.48	5.47	5.43	5.42	5.59	5.12
42	5.72	5.41	5.62	5.93	5.45	5.22	5.77	5.32	5.00	4.77
43	5.86	5.92	6.47	5.26	5.59	5.58	5.81	5.71	5.78	5.27
44	6.66	6.71	6.07	6.00	5.69	5.38	5.97	6.08	5.37	5.12
45	6.19	6.20	6.24	6.40	5.83	5.76	5.81	5.89	5.24	5.20
46	6.81	6.05	6.48	6.27	5.68	5.84	5.82	6.15	5.48	5.60
47	5.95	6.71	6.18	6.14	5.61	5.76	6.13	6.16	6.18	5.55
48	5.69	6.31	6.14	5.95	6.01	5.85	5.81	6.07	5.97	5.60
49	6.40	6.82	6.04	6.34	6.51	6.57	6.54	6.51	6.28	6.01
50	6.28	6.43	6.81	6.22	5.88	5.78	6.04	6.05	6.38	6.58
51	6.85	6.84	6.79	6.17	6.45	6.54	6.27	6.66	6.33	6.70
52	6.43	6.37	6.62	6.52	6.58	5.93	6.08	6.62	6.42	5.86
53	7.41	7.17	7.08	6.17	6.63	6.14	6.68	6.74	6.98	6.59
54	6.83	6.80	6.87	6.52	6.20	5.96	6.44	6.94	7.09	6.90
55	6.96	6.52	7.19	6.99	6.28	6.53	6.34	6.28	6.38	6.63
56	7.11	7.29	7.35	6.72	6.66	6.68	6.57	6.49	6.86	6.84
57	6.88	7.08	7.04	6.84	6.55	6.80	7.32	6.71	6.35	6.15
58	7.60	7.10	7.13	6.76	6.76	6.35	6.61	6.91	6.65	6.91
59	8.07	7.19	7.23	7.49	6.69	7.32	7.28	6.47	7.23	6.94
60	7.93	7.57	7.53	7.18	6.86	6.85	7.18	6.90	7.08	6.71
61	7.91	7.51	7.07	7.24	7.92	7.18	7.15	7.32	6.77	6.64
62	7.96	7.54	7.80	6.82	7.93	7.21	7.02	7.27	7.10	6.74
63	7.93	7.59	7.63	7.61	7.20	7.05	7.11	7.36	7.55	6.84
64	8.50	7.75	7.81	7.40	7.37	7.22	7.25	7.23	7.65	7.47
65	7.68	7.65	7.90	7.90	8.02	7.22	7.07	7.67	7.25	7.18
66	8.33	7.62	8.35	8.18	7.97	7.28	6.93	7.76	7.51	7.24
67	8.72	8.57	8.33	7.84	7.75	7.80	7.38	7.71	7.67	7.20
68	8.08	8.32	7.86	8.09	7.79	7.97	7.84	8.26	7.39	7.36
69	8.62	8.76	8.50	7.98	7.94	7.59	7.60	7.81	7.68	7.22
70	8.55	8.22	8.24	8.16	7.72	7.51	7.75	7.94	7.84	7.50
