Alter	Frauen	Männer
0	659	821
1	150	200
2	87	134
3	79	126
4	89	108
5	87	123
6	74	94
7	70	92
8	54	92
9	64	80
10	74	84
11	68	90
12	97	97
13	106	101
14	143	115
15	146	140
16	110	122
17	135	137
18	124	127
19	133	119
20	126	110
21	130	127
22	160	126
23	151	133
24	204	117
25	272	124
26	291	137
27	304	153
28	394	146
29	468	144
30	504	174
31	584	171
32	588	169
33	572	175
34	604	168
35	565	157
36	490	206
37	466	205
38	421	204
39	375	193
40	317	206
41	327	203
42	249	179
43	245	189
44	249	231
45	287	210
46	240	224
47	283	221
48	285	254
49	274	300
50	329	308
51	340	367
52	339	349
53	336	382
54	348	430
55	385	443
56	367	451
57	353	427
58	385	479
59	349	484
60	387	491
61	364	468
62	366	482
63	376	457
64	389	500
65	356	418
66	355	445
67	420	526
68	436	470
69	395	478
70	468	553
71	490	566
72	507	561
73	544	562
74	532	605
75	508	653
76	553	584
77	609	567
78	595	569
79	569	519
80	568	466
81	572	465
82	587	455
83	610	423
84	585	429
85	565	388
86	478	395
87	529	348
88	460	307
89	437	275
90	321	240
91	344	212
92	290	157
93	227	92
94	177	95
95	162	53
96	109	36
97	59	23
98	50	15
99	24	7
100	40	14
