""	"<25 Jahre"	"25-29 Jahre"	"30-34 Jahre"	"35-39 Jahre"	"40-44 Jahre"	"45-49 Jahre"	"50-54 Jahre"	">54 Jahre"
"2011-1"	1502	2773	3486	4079	5381	5572	4130	4177
"2011-2"	1540	2794	3570	4054	5360	5656	4214	4327
"2011-3"	1620	2878	3635	4037	5426	5682	4309	4449
"2011-4"	1589	2878	3642	4044	5299	5713	4390	4532
"2012-1"	1618	2878	3669	4008	5190	5714	4433	4839
"2012-2"	1631	2964	3749	4034	5230	5802	4563	4962
"2012-3"	1686	3009	3802	4054	5223	5896	4624	5031
"2012-4"	1644	2988	3802	4069	5144	5848	4635	5023
"2013-1"	1673	3039	3835	4079	5081	5860	4651	4674
"2013-2"	1729	3122	3881	4176	5088	5935	4757	4757
"2013-3"	1760	3145	3954	4257	5059	5980	4880	4774
"2013-4"	1693	3164	3958	4203	4962	5978	4884	4801
"2014-1"	1694	3208	3981	4209	4873	5937	4954	4867
"2014-2"	1752	3239	4044	4279	4900	5998	5071	5022
"2014-3"	1808	3244	4104	4336	4920	6008	5148	5171
"2014-4"	1770	3262	4031	4304	4849	5949	5187	5239
"2015-1"	1763	3299	4075	4323	4802	5907	5219	5277
"2015-2"	1772	3384	4089	4477	4775	5880	5309	5435
"2015-3"	1780	3423	4087	4519	4793	5873	5368	5488
"2015-4"	1671	3367	4027	4480	4691	5747	5434	5571
"2016-1"	1729	3432	4058	4532	4701	5676	5470	5702
"2016-2"	1722	3524	4083	4543	4757	5651	5563	5914
"2016-3"	1682	3514	4056	4646	4726	5678	5546	6093
"2016-4"	1655	3452	4069	4609	4705	5556	5526	6171
"2017-1"	1573	3345	3965	4577	4618	5447	5529	6281
"2017-2"	1583	3326	4029	4564	4702	5434	5636	6474
"2017-3"	1626	3393	4086	4609	4707	5362	5660	6533
"2017-4"	1648	3355	4041	4557	4668	5240	5636	6516
"2018-1"	1562	3213	3959	4472	4631	5143	5572	6449
"2018-2"	1634	3253	3970	4477	4673	5100	5626	6502
"2018-3"	1585	3185	3954	4471	4681	5031	5592	6510
"2018-4"	1510	3069	3886	4369	4597	4872	5513	6483
"2019-1"	1592	3131	3989	4405	4548	4788	5363	6343
"2019-2"	1612	3049	3984	4372	4538	4722	5350	6469
"2019-3"	1626	3013	4001	4417	4519	4726	5302	6633
"2019-4"	1667	3003	4006	4433	4478	4733	5309	6752
"2020-1"	1667	2941	3968	4400	4507	4695	5285	6900
"2020-2"	1674	2892	3937	4360	4535	4682	5244	7094
"2020-3"	1681	2907	3954	4345	4555	4657	5224	7228
"2020-4"	1695	2846	3960	4301	4561	4593	5147	7324

