""	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
"2013-1"	2447	7244	2083
"2013-2"	2519	7246	2067
"2013-3"	2474	7285	2115
"2013-4"	2487	7249	2073
"2014-1"	2534	7247	2094
"2014-2"	2532	7279	2131
"2014-3"	2544	7320	2144
"2014-4"	2545	7290	2148
"2015-1"	2527	7280	2176
"2015-2"	2521	7187	2201
"2015-3"	2513	7084	2122
"2015-4"	2499	7064	2099
"2016-1"	2537	7124	2104
"2016-2"	2539	7212	2077
"2016-3"	2567	7159	2051
"2016-4"	2564	7148	2041
"2017-1"	2558	7108	2013
"2017-2"	2515	7113	2002
"2017-3"	2491	6937	1978
"2017-4"	2473	6841	1959
"2018-1"	2400	6762	1900
"2018-2"	2381	6720	1896
"2018-3"	2346	6603	1873
"2018-4"	2314	6499	1848
"2019-1"	2312	6455	1809
"2019-2"	2312	6414	1795
"2019-3"	2319	6415	1775
"2019-4"	2330	6396	1790
"2020-1"	2335	6408	1789
"2020-2"	2361	6360	1803
"2020-3"	2374	6356	1815
"2020-4"	2373	6353	1610
"2021-1"	2265	6348	1491
"2021-2"	2265	6333	1490
"2021-3"	2249	6311	1497
"2021-4"	2255	6308	1496
"2022-1"	2269	6330	1503
"2022-2"	2260	6272	1481
"2022-3"	2219	6244	1461
"2022-4"	2195	6297	1441

