""	"Handel, Reparatur"	"Verkehr, Lagerei"	"Gastgewerbe"	"Information, Kommunikation"
"2010-1"	4047	1598	1240	727
"2010-2"	4126	1595	1268	725
"2010-3"	4079	1611	1225	770
"2010-4"	4008	1493	1291	687
"2011-1"	4007	1391	1247	732
"2011-2"	4009	1369	1249	752
"2011-3"	4054	1416	1232	806
"2011-4"	3996	1469	1249	786
"2012-1"	3991	1491	1215	826
"2012-2"	3872	1540	1217	878
"2012-3"	3750	1487	1185	984
"2012-4"	3688	1432	1145	972
"2013-1"	3546	1362	1128	992
"2013-2"	3515	1348	1116	997
"2013-3"	3525	1362	1109	980
"2013-4"	3527	1332	1079	1068
"2014-1"	3519	1318	1082	1115
"2014-2"	3523	1309	1105	1060
"2014-3"	3530	1304	1099	1098
"2014-4"	3530	1261	1086	1101
"2015-1"	3508	1295	1077	1126
"2015-2"	3492	1286	1075	1154
"2015-3"	3494	1298	1083	1251
"2015-4"	3492	1311	1076	1241
"2016-1"	3447	1313	1112	1289
"2016-2"	3422	1223	1091	1275
"2016-3"	3429	1229	1072	1275
"2016-4"	3412	1177	1081	1297
"2017-1"	3335	1182	1045	1226
"2017-2"	3335	1172	1011	1331
"2017-3"	3254	1155	1009	1362
"2017-4"	3227	1133	1005	1345
"2018-1"	3082	1069	953	1303
"2018-2"	3012	1066	927	1391
"2018-3"	2955	1038	891	1375
"2018-4"	2829	1043	867	1381
"2019-1"	2755	1035	863	1444
"2019-2"	2744	1013	862	1387
"2019-3"	2718	1026	848	1437
"2019-4"	2696	1021	846	1452

