"Datum"	"BS"	"BL"	"AG"	"ZH"
"2012-01"	1675	537	1970	7194
"2012-02"	1585	588	2601	7428
"2012-03"	1786	704	2756	7731
"2012-04"	1587	535	2022	6407
"2013-01"	1819	560	2238	7421
"2013-02"	1876	759	3143	8201
"2013-03"	2012	876	3006	8513
"2013-04"	1688	777	2519	8348
"2014-01"	1813	706	2668	8377
"2014-02"	1559	776	3009	7762
"2014-03"	1999	872	3155	8307
"2014-04"	1884	758	2373	7682
"2015-01"	1938	662	2595	8228
"2015-02"	1756	659	2927	8086
"2015-03"	2092	657	3141	8905
"2015-04"	1682	552	2475	7048
"2016-01"	1850	603	2310	7781
"2016-02"	1756	655	2726	8316
"2016-03"	1992	669	2462	8401
"2016-04"	1488	542	2041	6608
"2017-01"	2103	629	2000	7758
"2017-02"	1767	669	2439	8133
"2017-03"	1814	636	2450	8202
"2017-04"	1504	581	1942	6624
"2018-01"	2105	834	1918	7650
"2018-02"	1764	685	1967	7944
"2018-03"	2129	708	2500	8156
"2018-04"	1622	567	2247	7344
"2019-01"	2399	800	2044	8042
"2019-02"	1619	619	1953	8111
"2019-03"	1903	699	2495	8743
"2019-04"	1796	660	2033	7271
"2020-01"	2420	752	2126	7780
"2020-02"	851	437	1709	3822
"2020-03"	1457	612	2277	7431
"2020-04"	1475	604	1771	6014
"2021-01"	1269	639	1843	5861
"2021-02"	1020	534	2091	5739
"2021-03"	1547	562	2357	7216
"2021-04"	1617	593	1876	7243

