"Branche"	"2020"	"2021"	"2022"
"Industrie (exkl. Chemie, Pharma)"	0.062	0.054	0.040
"Chemie, Pharma"	0.016	0.020	0.017
"Baugewerbe"	0.118	0.120	0.101
"Handel, Reparatur"	0.041	0.047	0.038
"Verkehr, Lagerei"	0.055	0.061	0.051
"Gastgewerbe"	0.112	0.119	0.078
"Information, Kommunikation"	0.043	0.042	0.032
"Finanz-, Versicherungs-DL"	0.044	0.043	0.034
"Beratung, Planung, Forschung, Immobilien"	0.037	0.037	0.027
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.077	0.087	0.074
"Personalvermittlung, -überlassung"	0.029	0.020	0.008
"Öffentliche Verwaltung, Sozialversicherungen"	0.008	0.008	0.008
"Erziehung, Unterricht"	0.031	0.029	0.025
"Gesundheits-, Sozialwesen"	0.028	0.027	0.023
"Kultur, Unterhaltung, pers. DL"	0.038	0.035	0.027
"Total"	0.039	0.039	0.031

