"Branche"	"2018"	"2019"	"2020"
"Industrie (inkl. Chemie, Pharma)"	0.008	0.008	0.005
"Baugewerbe"	0.062	0.054	0.028
"Handel, Reparatur"	0.005	0.006	0.004
"Verkehr, Lagerei, Kommunikation"	0.001	0.004	0.004
"Gastgewerbe"	0.015	0.013	0.006
"IT-Dienstleistungen"	0.018	0.022	0.017
"Finanz-, Versicherungs-DL"	0.001	0.001	0.001
"Beratung, Planung, Forschung, Immobilien"	0.005	0.004	0.003
"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	0.013	0.010	0.008
"Personalvermittlung, -überlassung"	0.064	0.060	0.061
"Öffentliche Verwaltung, Sozialversicherungen"	0.004	0.003	0.003
"Erziehung, Unterricht"	0.003	0.002	0.002
"Gesundheits-, Sozialwesen"	0.004	0.004	0.005
"Kultur, Unterhaltung, pers. DL"	0.036	0.030	0.019
"Total"	0.013	0.012	0.009

