""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Handel, Reparatur"
"2015-01"	29	1995	54
"2015-02"	29	1996	35
"2015-03"	28	1992	66
"2015-04"	23	2006	85
"2016-01"	35	1966	73
"2016-02"	34	1945	54
"2016-03"	47	1953	59
"2016-04"	32	1946	87
"2017-01"	32	1920	69
"2017-02"	37	1932	65
"2017-03"	36	1906	55
"2017-04"	25	1900	83
"2018-01"	35	1872	51
"2018-02"	19	1838	57
"2018-03"	30	1821	51
"2018-04"	27	1788	93
"2019-01"	41	1764	65
"2019-02"	31	1759	50
"2019-03"	31	1745	59
"2019-04"	30	1751	116
"2020-01"	40	1728	71
"2020-02"	16	1697	34
"2020-03"	21	1673	28
"2020-04"	20	1653	56
"2021-01"	18	1593	32
"2021-02"	12	1578	42
"2021-03"	22	1569	47
"2021-04"	27	1586	90
"2022-01"	23	1543	62
"2022-02"	19	1559	47
"2022-03"	27	1542	77
"2022-04"	20	1535	113
"2023-01"	40	1423	78
"2023-02"	22	1402	62
"2023-03"	29	1374	74
"2023-04"	21	1380	105
"2024-01"	25	1393	55
"2024-02"	31	1400	43
"2024-03"	24	1380	47
"2024-04"	38	1400	93

