""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2015-01"	0.052782	82
"2015-02"	0.052782	79
"2015-03"	0.052782	79
"2015-04"	0.052782	79
"2015-05"	0.052782	83
"2015-06"	0.052782	84
"2015-07"	0.052782	72
"2015-08"	0.052782	74
"2015-09"	0.052782	72
"2015-10"	0.052782	70
"2015-11"	0.052782	76
"2015-12"	0.052782	75
"2016-01"	0.054265	79
"2016-02"	0.054265	80
"2016-03"	0.054265	76
"2016-04"	0.054265	77
"2016-05"	0.054265	74
"2016-06"	0.054265	75
"2016-07"	0.054265	73
"2016-08"	0.054265	83
"2016-09"	0.054265	80
"2016-10"	0.054265	85
"2016-11"	0.054265	82
"2016-12"	0.054265	87
"2017-01"	0.057518	85
"2017-02"	0.057518	88
"2017-03"	0.057518	96
"2017-04"	0.057518	102
"2017-05"	0.057518	97
"2017-06"	0.057518	89
"2017-07"	0.057518	80
"2017-08"	0.057518	75
"2017-09"	0.057518	77
"2017-10"	0.057518	76
"2017-11"	0.057518	69
"2017-12"	0.057518	74
"2018-01"	0.047304	74
"2018-02"	0.047304	67
"2018-03"	0.047304	61
"2018-04"	0.047304	62
"2018-05"	0.047304	67
"2018-06"	0.047304	60
"2018-07"	0.047304	66
"2018-08"	0.047304	68
"2018-09"	0.047304	75
"2018-10"	0.047304	77
"2018-11"	0.047304	77
"2018-12"	0.047304	75
"2019-01"	0.042168	67
"2019-02"	0.042168	64
"2019-03"	0.042168	57
"2019-04"	0.042168	67
"2019-05"	0.042168	66
"2019-06"	0.042168	59
"2019-07"	0.042168	63
"2019-08"	0.042168	63
"2019-09"	0.042168	57
"2019-10"	0.042168	59
"2019-11"	0.042168	56
"2019-12"	0.042168	61
"2020-01"	0.050956	64
"2020-02"	0.050956	53
"2020-03"	0.050956	67
"2020-04"	0.050956	75
"2020-05"	0.050956	76
"2020-06"	0.050956	84
"2020-07"	0.050956	80
"2020-08"	0.050956	75
"2020-09"	0.050956	69
"2020-10"	0.050956	80
"2020-11"	0.050956	79
"2020-12"	0.050956	91
"2021-01"	0.056034	97
"2021-02"	0.056034	94
"2021-03"	0.056034	94
"2021-04"	0.056034	101
"2021-05"	0.056034	89
"2021-06"	0.056034	86
"2021-07"	0.056034	81
"2021-08"	0.056034	75
"2021-09"	0.056034	65
"2021-10"	0.056034	65
"2021-11"	0.056034	68
"2021-12"	0.056034	67
"2022-01"	0.043081	73
"2022-02"	0.043081	77
"2022-03"	0.043081	73
"2022-04"	0.043081	74
"2022-05"	0.043081	66
"2022-06"	0.043081	58
"2022-07"	0.043081	57
"2022-08"	0.043081	58
"2022-09"	0.043081	55
"2022-10"	0.043081	55
"2022-11"	0.043081	60
"2022-12"	0.043081	49
"2023-01"	0.041312	56
"2023-02"	0.041312	58
"2023-03"	0.041312	57
"2023-04"	0.041312	61
"2023-05"	0.041312	62
"2023-06"	0.041312	61
"2023-07"	0.041312	59
"2023-08"	0.041312	58
"2023-09"	0.041312	57
"2023-10"	0.041312	63
"2023-11"	0.041312	67
"2023-12"	0.041312	65
"2024-01"	0.043823	66
"2024-02"	0.043823	57
"2024-03"	0.043823	56
"2024-04"	0.043823	68
"2024-05"	0.043823	65
"2024-06"	0.043823	69
"2024-07"	0.043823	65
"2024-08"	0.043823	64
"2024-09"	0.043823	60
"2024-10"	0.043823	60
"2024-11"	0.043823	68
"2024-12"	0.043823	70

