""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ Beratung und Planung"
"2010-01"	923	22
"2010-02"	991	25
"2010-03"	1003	24
"2010-04"	953	42
"2011-01"	972	47
"2011-02"	997	46
"2011-03"	1063	42
"2011-04"	1067	27
"2012-01"	1149	47
"2012-02"	1138	43
"2012-03"	1257	38
"2012-04"	1388	52
"2013-01"	1475	48
"2013-02"	1436	54
"2013-03"	1534	43
"2013-04"	1521	37
"2014-01"	1476	81
"2014-02"	1603	59
"2014-03"	1675	78
"2014-04"	1677	73
"2015-01"	1664	115
"2015-02"	1730	97
"2015-03"	1825	75
"2015-04"	1834	83
"2016-01"	1871	155
"2016-02"	1971	81
"2016-03"	1951	59
"2016-04"	2031	59
"2017-01"	2102	83
"2017-02"	2104	73
"2017-03"	2144	43
"2017-04"	2179	34
"2018-01"	2272	76
"2018-02"	2221	70
"2018-03"	2205	56
"2018-04"	2210	42

