""	"Pflegeheime"	"Institutionen für Suchtkranke, psychosoziale Fälle"	"Altersheime"	"Institutionen für Behinderte"	"Wohnheime für Kinder und Jugendliche"	"Soziale Betreuung älterer Menschen und Behinderter"	"Tagesbetreuung von Kindern"	"Sonstiges"
2012	2033.5	121.1	143.8	609.4	409.9	378.4	835.7	1207.7
2013	2100.4	125.1	182.8	612.6	328.0	687.8	867.5	1355.7
2014	2242.3	119.0	181.5	625.2	328.7	710.8	924.6	1403.7
2015	2351.9	128.5	205.7	619.9	328.0	695.9	1006.8	1376.0
2016	2456.9	137.2	202.9	604.2	317.7	687.6	1009.8	1456.8
2017	2536.0	141.2	223.7	674.5	323.1	716.8	1017.2	1485.9
2018	2562.4	148.8	217.6	707.9	347.5	689.6	1117.5	1512.2
2019	2690.1	155.6	226.6	744.9	330.7	629.4	1129.1	1610.5
2020	2600.2	161.9	147.7	672.8	326.2	595.2	1132.6	1668.8

