""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	1274	101
"2010-02"	1387	215
"2010-03"	1460	416
"2010-04"	1503	271
"2011-01"	1404	184
"2011-02"	1560	257
"2011-03"	1698	380
"2011-04"	1554	285
"2012-01"	1436	171
"2012-02"	1722	274
"2012-03"	1907	594
"2012-04"	1768	392
"2013-01"	1698	303
"2013-02"	1961	514
"2013-03"	2131	662
"2013-04"	2008	439
"2014-01"	1942	330
"2014-02"	2182	532
"2014-03"	2235	784
"2014-04"	2036	333
"2015-01"	1996	298
"2015-02"	2160	394
"2015-03"	2218	603
"2015-04"	1902	244
"2016-01"	1861	212
"2016-02"	2130	326
"2016-03"	2199	430
"2016-04"	2025	272
"2017-01"	1799	189
"2017-02"	2039	437
"2017-03"	2172	543
"2017-04"	2087	340
"2018-01"	2224	253
"2018-02"	2207	419
"2018-03"	2249	558
"2018-04"	2231	340
"2019-01"	2154	258
"2019-02"	2109	357
"2019-03"	2259	523
"2019-04"	2241	342

