""	"Mittlere jährliche Arbeitslosenquote Heime"	"Mittlere jährliche Arbeitslosenquote Sozialwesen"	"Monatliche Anzahl Arbeitslose Heime (rechte Skala)"	"Monatliche Anzahl Arbeitslose Sozialwesen (rechte Skala)"
"2010-01"	0.029512	0.019356	92	47
"2010-02"	0.029512	0.019356	94	44
"2010-03"	0.029512	0.019356	91	45
"2010-04"	0.029512	0.019356	95	58
"2010-05"	0.029512	0.019356	95	56
"2010-06"	0.029512	0.019356	97	55
"2010-07"	0.029512	0.019356	110	63
"2010-08"	0.029512	0.019356	119	63
"2010-09"	0.029512	0.019356	121	63
"2010-10"	0.029512	0.019356	109	60
"2010-11"	0.029512	0.019356	98	59
"2010-12"	0.029512	0.019356	100	57
"2011-01"	0.030237	0.017536	108	61
"2011-02"	0.030237	0.017536	108	54
"2011-03"	0.030237	0.017536	96	55
"2011-04"	0.030237	0.017536	87	45
"2011-05"	0.030237	0.017536	96	47
"2011-06"	0.030237	0.017536	91	46
"2011-07"	0.030237	0.017536	104	47
"2011-08"	0.030237	0.017536	115	61
"2011-09"	0.030237	0.017536	113	54
"2011-10"	0.030237	0.017536	110	54
"2011-11"	0.030237	0.017536	115	45
"2011-12"	0.030237	0.017536	108	38
"2012-01"	0.032461	0.018489	107	40
"2012-02"	0.032461	0.018489	100	46
"2012-03"	0.032461	0.018489	99	51
"2012-04"	0.032461	0.018489	94	47
"2012-05"	0.032461	0.018489	104	46
"2012-06"	0.032461	0.018489	100	49
"2012-07"	0.032461	0.018489	108	55
"2012-08"	0.032461	0.018489	120	57
"2012-09"	0.032461	0.018489	130	56
"2012-10"	0.032461	0.018489	132	60
"2012-11"	0.032461	0.018489	128	66
"2012-12"	0.032461	0.018489	121	67
"2013-01"	0.032799	0.025307	119	66
"2013-02"	0.032799	0.025307	111	64
"2013-03"	0.032799	0.025307	117	60
"2013-04"	0.032799	0.025307	117	60
"2013-05"	0.032799	0.025307	119	60
"2013-06"	0.032799	0.025307	101	60
"2013-07"	0.032799	0.025307	113	72
"2013-08"	0.032799	0.025307	117	79
"2013-09"	0.032799	0.025307	115	84
"2013-10"	0.032799	0.025307	111	90
"2013-11"	0.032799	0.025307	104	90
"2013-12"	0.032799	0.025307	113	91
"2014-01"	0.029246	0.026607	114	82
"2014-02"	0.029246	0.026607	113	74
"2014-03"	0.029246	0.026607	121	69
"2014-04"	0.029246	0.026607	109	70
"2014-05"	0.029246	0.026607	104	65
"2014-06"	0.029246	0.026607	101	61
"2014-07"	0.029246	0.026607	105	73
"2014-08"	0.029246	0.026607	107	83
"2014-09"	0.029246	0.026607	96	87
"2014-10"	0.029246	0.026607	85	82
"2014-11"	0.029246	0.026607	80	86
"2014-12"	0.029246	0.026607	75	89
"2015-01"	0.029319	0.026607	91	84
"2015-02"	0.029319	0.026607	91	73
"2015-03"	0.029319	0.026607	97	71
"2015-04"	0.029319	0.026607	98	69
"2015-05"	0.029319	0.026607	94	69
"2015-06"	0.029319	0.026607	97	61
"2015-07"	0.029319	0.026607	100	68
"2015-08"	0.029319	0.026607	101	87
"2015-09"	0.029319	0.026607	107	89
"2015-10"	0.029319	0.026607	115	84
"2015-11"	0.029319	0.026607	114	87
"2015-12"	0.029319	0.026607	108	79
"2016-01"	0.033887	0.032703	101	80
"2016-02"	0.033887	0.032703	116	90
"2016-03"	0.033887	0.032703	121	87
"2016-04"	0.033887	0.032703	119	92
"2016-05"	0.033887	0.032703	121	99
"2016-06"	0.033887	0.032703	120	87
"2016-07"	0.033887	0.032703	120	92
"2016-08"	0.033887	0.032703	125	105
"2016-09"	0.033887	0.032703	117	105
"2016-10"	0.033887	0.032703	114	101
"2016-11"	0.033887	0.032703	115	99
"2016-12"	0.033887	0.032703	113	95
"2017-01"	0.039591	0.034841	124	94
"2017-02"	0.039591	0.034841	123	91
"2017-03"	0.039591	0.034841	127	96
"2017-04"	0.039591	0.034841	135	103
"2017-05"	0.039591	0.034841	134	96
"2017-06"	0.039591	0.034841	138	92
"2017-07"	0.039591	0.034841	136	103
"2017-08"	0.039591	0.034841	141	116
"2017-09"	0.039591	0.034841	138	107
"2017-10"	0.039591	0.034841	147	106
"2017-11"	0.039591	0.034841	147	101
"2017-12"	0.039591	0.034841	148	101
"2018-01"	0.031518	0.032010	134	104
"2018-02"	0.031518	0.032010	128	89
"2018-03"	0.031518	0.032010	122	83
"2018-04"	0.031518	0.032010	123	84
"2018-05"	0.031518	0.032010	112	81
"2018-06"	0.031518	0.032010	109	81
"2018-07"	0.031518	0.032010	102	92
"2018-08"	0.031518	0.032010	104	106
"2018-09"	0.031518	0.032010	106	101
"2018-10"	0.031518	0.032010	108	107
"2018-11"	0.031518	0.032010	82	96
"2018-12"	0.031518	0.032010	74	84
"2019-01"	0.025282	0.027243	87	85
"2019-02"	0.025282	0.027243	80	74
"2019-03"	0.025282	0.027243	87	69
"2019-04"	0.025282	0.027243	83	60
"2019-05"	0.025282	0.027243	87	70
"2019-06"	0.025282	0.027243	82	67
"2019-07"	0.025282	0.027243	88	82
"2019-08"	0.025282	0.027243	96	100
"2019-09"	0.025282	0.027243	88	78
"2019-10"	0.025282	0.027243	88	79
"2019-11"	0.025282	0.027243	94	83
"2019-12"	0.025282	0.027243	86	96

