""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger Heime"	"Bestand Grenzgänger Sozialwesen"	"Best. Meldepflichtige in VZÄ Gesundh.-, Veterinärwesen, Heime, Kinderkrippen"
"2010-01"	9	814	333	33
"2010-02"	10	792	328	68
"2010-03"	14	829	357	108
"2010-04"	9	795	364	76
"2011-01"	2	798	328	60
"2011-02"	7	848	328	56
"2011-03"	11	821	300	105
"2011-04"	8	773	344	59
"2012-01"	7	812	340	77
"2012-02"	15	805	338	46
"2012-03"	6	834	387	75
"2012-04"	8	859	340	53
"2013-01"	14	814	375	91
"2013-02"	8	846	350	54
"2013-03"	8	904	364	79
"2013-04"	2	920	384	55
"2014-01"	4	966	359	65
"2014-02"	8	919	408	59
"2014-03"	6	968	396	103
"2014-04"	8	986	400	52
"2015-01"	7	951	397	92
"2015-02"	9	984	408	66
"2015-03"	11	1012	379	101
"2015-04"	4	1004	404	55
"2016-01"	10	970	425	76
"2016-02"	2	1059	410	62
"2016-03"	8	1025	430	112
"2016-04"	14	1037	420	66
"2017-01"	9	1112	410	68
"2017-02"	5	1056	453	56
"2017-03"	4	1098	425	116
"2017-04"	10	1038	434	77
"2018-01"	4	1123	393	84
"2018-02"	3	1081	416	62
"2018-03"	9	1101	430	119
"2018-04"	5	1058	415	75

