""	"Zuwanderung Erwerbstätige (rechte Skala)"	"Bestand Grenzgänger"	"Bestand Meldepflichtige"
2010-01	1447	30865,6	3300
2010-02	1360	31555,5	2195
2010-03	1790	31606,5	2219
2010-04	1386	31089,5	2811
2011-01	1469	30953,3	3987
2011-02	1583	31352,2	2734
2011-03	1967	31868,8	2890
2011-04	1570	31928,4	2708
2012-01	1675	31996,8	4945
2012-02	1585	32575,2	2908
2012-03	1786	32951	3625
2012-04	1587	32799,6	2442
2013-01	1819	32862,7	4753
2013-02	1876	33403,2	4991
2013-03	2012	33773,5	3823
2013-04	1688	33603,1	2484
2014-01	1813	33677,5	8370
2014-02	2177	34251,7	3806
2014-03	1999	34682,2	3880
2014-04	1884	34535,3	2517
2015-01	1938	34614,8	8288
2015-02	1756	35070,9	3338
2015-03	2092	35278,3	3724
2015-04	1682	34948	2904
2016-01	1850	35283,7	9059
2016-02	1756	35743,1	3921
2016-03	1992	35933	3734
2016-04	1488	35739,2	2694
2017-01	2103	35854,9	7953
2017-02	1767	35814,3	4054
2017-03	1814	35881,7	3767
2017-04	1504	35876,6	3086
2018-01	2105	35061,4	7765
2018-02	1764	34764,4	3864
2018-03	2129	34421	3604
2018-04	1622	34121,5	2759

