GeoID	Anzahl Leerwohnungen	ANZ_BESTAND	Leerwohnungsquote	JAHR
2761	47	5222	0.009000383	2023
2762	115	11322	0.010157216	2023
2841	0	258	0	2023
2881	1	276	0.003623188	2023
2821	1	756	0.001322751	2023
2763	42	4844	0.00867052	2023
2822	9	610	0.014754098	2023
2701	1114	104016	0.010709891	2023
2882	0	305	0	2023
2702	7	563	0.012433393	2023
2764	3	1560	0.001923077	2023
2765	75	8527	0.00879559	2023
2766	56	5796	0.009661836	2023
2781	1	361	0.002770083	2023
2842	1	385	0.002597403	2023
2767	27	3495	0.007725322	2023
2883	0	348	0	2023
2782	2	765	0.002614379	2023
2823	7	2083	0.003360538	2023
2843	1	347	0.002881844	2023
2783	1	135	0.007407407	2023
2844	6	510	0.011764706	2023
2884	6	765	0.007843137	2023
2845	2	346	0.005780347	2023
2784	1	379	0.002638522	2023
2785	8	733	0.010914052	2023
2885	1	279	0.003584229	2023
2768	35	2747	0.012741172	2023
2824	33	3225	0.010232558	2023
2825	13	2280	0.005701754	2023
2846	28	3085	0.009076175	2023
2826	7	508	0.013779528	2023
2786	17	1009	0.016848365	2023
2847	0	121	0	2023
2848	0	143	0	2023
2827	1	174	0.005747126	2023
2886	8	1171	0.006831768	2023
2849	26	1066	0.024390244	2023
2850	2	261	0.007662835	2023
2851	0	76	0	2023
2887	0	253	0	2023
2888	7	525	0.013333333	2023
2852	3	713	0.004207574	2023
2787	38	3047	0.012471283	2023
2828	17	2794	0.006084467	2023
2889	1	178	0.005617978	2023
2890	0	78	0	2023
2788	6	624	0.009615385	2023
2829	109	7985	0.013650595	2023
2830	2	677	0.00295421	2023
2853	4	479	0.008350731	2023
2769	105	6098	0.01721876	2023
2770	60	8958	0.006697924	2023
2789	1	214	0.004672897	2023
2891	10	878	0.011389522	2023
2854	0	127	0	2023
2892	16	1187	0.01347936	2023
2771	64	5505	0.011625795	2023
2855	0	256	0	2023
2856	9	1085	0.008294931	2023
2772	10	1055	0.009478673	2023
2831	86	8285	0.010380205	2023
2832	1	336	0.00297619	2023
2893	3	790	0.003797468	2023
2773	98	9890	0.009908999	2023
2857	0	284	0	2023
2703	108	10856	0.009948416	2023
2790	0	164	0	2023
2791	9	926	0.009719222	2023
2858	1	388	0.00257732	2023
2859	0	190	0	2023
2860	1	401	0.002493766	2023
2774	3	668	0.004491018	2023
2833	3	606	0.004950495	2023
2861	32	3457	0.009256581	2023
2862	1	376	0.002659574	2023
2863	1	425	0.002352941	2023
2775	29	4766	0.006084767	2023
2864	7	702	0.00997151	2023
2894	1	221	0.004524887	2023
2792	4	744	0.005376344	2023
2895	12	663	0.018099548	2023
2865	1	348	0.002873563	2023
2866	0	308	0	2023
2867	0	204	0	2023
2868	1	248	0.004032258	2023
2834	2	717	0.0027894	2023
2869	9	1313	0.006854532	2023
2793	9	1331	0.006761833	2023
