"Jahr"	"Belegte Wohnungen"	"Wohnbevölkerung"	"Leerstehende Wohnungen (rechte Skala)"
1960	78361	227634	75
1961	79889	230317	78
1962	82286	233472	12
1963	83087	235932	4
1964	84431	237171	28
1965	85730	237123	98
1966	86838	237458	68
1967	87320	236592	43
1968	88005	237996	42
1969	88798	238178	30
1970	91657	236219	50
1971	92780	232379	46
1972	93901	229966	97
1973	95042	227343	196
1974	95817	223837	451
1975	96380	220334	1101
1976	96736	216004	1268
1977	97213	212446	1076
1978	97889	210032	899
1979	98380	208079	616
1980	98346	206533	447
1981	98873	205006	715
1982	98970	203819	892
1983	99426	203104	860
1984	99964	202288	833
1985	100125	201903	1077
1986	100719	199548	779
1987	101125	198204	713
1988	101288	196405	531
1989	101581	195859	309
1990	101731	196419	175
1991	101740	198094	202
1992	101843	198456	235
1993	102239	199186	248
1994	102458	198729	337
1995	102682	197802	550
1996	102970	196489	804
1997	102495	194253	1249
1998	102293	192121	1578
1999	102381	190141	1602
2000	102633	188581	1360
2001	102624	187459	1466
2002	102793	188015	1383
2003	102802	188213	1420
2004	102854	188477	1502
2005	102790	187543	1586
2006	103157	187190	1471
2007	103374	187157	1468
2008	103459	188568	1294
2009	103829	189540	969
2010	104295	190799	783
2011	104744	192304	522
2012	105264	192828	500
2013	105560	194435	361
2014	106120	195962	245
2015	106909	197007	361
2016	108001	197866	452
2017	108574	198477	546
2018	109177	199891	782
2019	110014	200192	1124
2020	110572	201578	1073
2021	111454	201766	1235
2022	112584	203955	1328
2023	114196	205474	1229

