"Kanton"	"2022"	"2023"	"2024"	"2025"	"2026"
"CH"	1.31	1.15	1.08	1.00	""
"."	""	""	""	""	""
"BS"	1.17	1.06	0.77	0.92	0.78
"BL"	0.93	0.92	0.73	0.79	0.64
".."	""	""	""	""	""
"ZH"	0.60	0.53	0.56	0.48	0.52
"BE"	1.48	1.38	1.21	1.12	""
"LU"	0.91	0.96	0.82	0.78	""
"UR"	0.85	0.64	0.76	0.64	""
"SZ"	0.72	0.50	0.57	0.52	""
"OW"	0.48	0.43	0.44	0.50	""
"NW"	0.76	0.82	0.89	0.68	""
"GL"	1.73	1.25	0.85	0.61	""
"ZG"	0.33	0.42	0.39	0.42	""
"FR"	1.77	1.38	1.16	1.11	""
"SO"	2.66	2.39	2.37	2.05	""
"SH"	1.65	1.07	1.12	0.83	""
"AR"	1.84	1.20	1.30	1.12	""
"AI"	1.67	1.59	0.99	0.93	""
"SG"	1.69	1.42	1.39	1.37	""
"GR"	0.61	0.58	0.57	0.57	""
"AG"	1.69	1.40	1.30	1.18	""
"TG"	1.70	1.45	1.42	1.41	""
"TI"	2.49	2.17	2.08	1.92	""
"VD"	1.10	0.98	0.96	0.89	0.87
"VS"	1.87	1.69	1.43	1.18	""
"NE"	2.20	1.85	1.68	1.82	""
"GE"	0.38	0.42	0.48	0.34	0.31
"JU"	2.96	3.17	2.98	3.03	""
