	Prämienverbilligung	Sozialhilfe	EL zur AHV	Behindertenhilfe	EL zur IV	Tagesbetreuung	Stationäre Jugendhilfe	Stipendien	Familienmietzinsbeiträge	Beihilfen zur AHV	Beihilfen zur IV	Alimentenbevorschussung	Arbeitslosenhilfe
2011	115.7	116.1	107.7	73.4	109.0	29.3	48.2	11.7	4.3	4.8	5.3	4.0	1.3
2012	126.2	122.5	115.9	79.8	113.6	32.0	48.2	11.6	5.2	5.0	5.4	4.2	1.6
2013	116.2	126.6	121.3	80.4	116.0	33.1	47.2	11.4	8.1	4.6	4.9	4.2	1.7
2014	141.9	129.6	119.3	79.8	110.4	34.9	49.1	11.9	8.9	4.7	4.8	4.1	1.7
2015	153.4	134.3	121.5	80.3	107.8	36.3	46.8	12.0	9.5	4.8	4.7	3.5	1.7
2016	159.7	142.4	126.8	81.7	110.3	37.8	41.3	11.8	10.1	5.0	4.7	3.7	1.9
2017	169.9	145.0	128.9	98.6	96.2	38.8	39.5	11.7	10.7	5.1	4.6	3.7	2.0
2018	178.5	143.4	135.6	102.8	101.7	40.1	38.5	11.8	11.2	5.3	4.6	3.5	1.4
2019	182.9	136.4	135.8	104.6	104.1	39.6	40.3	12.0	11.7	5.5	4.5	3.3	1.1
2020	186.7	137.9	136.0	103.9	103.1	42.3	41.8	12.0	11.8	5.7	4.3	3.1	1.4

