"Steuerjahr"	"Mittelwert Messe"	"Median Messe"	"Mittelwert Erlenmatt"	"Median Erlenmatt"
2005	55782.04	171.0	26572.05	0.0
2006	53536.01	164.5	17493.26	0.0
2007	46652.64	242.5	30205.79	0.0
2008	49002.30	362.5	34709.80	362.5
2009	54276.05	664.0	64591.75	966.0
2010	54432.21	555.0	74926.64	2636.5
2011	58614.89	849.0	80551.55	4435.0
2012	66717.66	1195.5	96000.31	6789.0
2013	66212.29	1465.5	137993.47	9798.0
2014	62337.64	1737.0	162725.19	10000.0
2015	62792.53	2000.0	125210.55	11039.0
2016	69087.81	2000.0	159376.18	16805.0
2017	68850.02	1533.0	132767.57	23588.0
2018	65540.88	2061.0	134406.17	21589.0
2019	67648.68	2383.0	130768.55	17650.0
2020	80347.21	3219.0	137599.88	21782.0
2021	89182.94	3358.0	150992.23	25043.0

	
