"Betrachtungsjahr"	"Zugezogene Messe"	"Weggezogene Messe"	"Zugezogene Erlenmatt"	"Weggezogene Erlenmatt"	"Saldo Messe"	"Saldo Erlenmatt"
2005	121617	161998			-40381	
2006	159431	103520			55911	
2007	101797	85689			16108	
2008	648156	111770	46031		536386	46031
2009	502610	555815	293511	62610	-53205	230901
2010	564007	412341	222091	52489	151666	169602
2011	530678	510926	226185	75896	19752	150289
2012	894881	643431	100093	287525	251450	-187432
2013	806423	549151	213476	167089	257272	46387
2014	711859	621333	201772	145043	90526	56729
2015	689943	578767	1546250	167365	111176	1378885
2016	693953	525292	668510	397977	168661	270533
2017	658295	593526	986398	675138	64769	311260
2018	762449	562660	952357	730542	199789	221815
2019	637563	571334	1259621	602830	66229	656791
2020	507779	717371	1257193	678463	-209592	578730
2021	722189	723283	1082333	968414	-1094	113919
