"WOV_NAME"	"Anteil mit tertiärem Bildungsabschluss"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Jahr"
"Altstadt Grossbasel"	0.6171148	0.5603	0.6739	"2013-2017"
"Am Ring"	0.5319147	0.5060	0.5579	"2013-2017"
"Vorstädte"	0.4979099	0.4595	0.5363	"2013-2017"
"Bruderholz"	0.4855492	0.4587	0.5124	"2013-2017"
"Wettstein"	0.4776133	0.4427	0.5125	"2013-2017"
"St. Alban"	0.4632266	0.4386	0.4879	"2013-2017"
"Bachletten"	0.4292742	0.4075	0.4511	"2013-2017"
"Gotthelf"	0.3995723	0.3679	0.4312	"2013-2017"
"Altstadt Kleinbasel"	0.3906039	0.3330	0.4483	"2013-2017"
"Gundeldingen"	0.3867601	0.3677	0.4058	"2013-2017"
"Riehen/Bettingen"	0.3801631	0.3635	0.3969	"2013-2017"
"Matthäus"	0.3759458	0.3545	0.3974	"2013-2017"
"St. Johann"	0.3716289	0.3520	0.3912	"2013-2017"
"Rosental"	0.3368078	0.3016	0.3720	"2013-2017"
"Breite"	0.325812	0.3001	0.3516	"2013-2017"
"Clara"	0.3196111	0.2782	0.3610	"2013-2017"
"Iselin"	0.3148416	0.2952	0.3345	"2013-2017"
"Hirzbrunnen"	0.2655867	0.2416	0.2896	"2013-2017"
"Klybeck"	0.1774449	0.1519	0.2030	"2013-2017"
"Kleinhüningen"	0.1424118	0.1056	0.1793	"2013-2017"

