"JahrBezirk"	"Grünfläche"	"Gewässer"	"Gebäude"	"Verkehrsfläche"	"Übrige befestigte Flächen"
"2011: Messe"	2.17499		16.7150	9.81872	8.3878
"2011: Erlenmatt"	3.13959	0.22848	5.1478	6.66630	11.0863
"."					
"2012: Messe"	2.17944		15.1990	9.82937	9.8888
"2012: Erlenmatt"	3.24071	0.22848	5.1829	6.96885	10.6475
".."					
"2013: Messe"	3.03400		17.1357	9.23271	7.6941
"2013: Erlenmatt"	3.31626	0.22829	1.9876	6.85411	13.8822
"..."					
"2014: Messe"	3.03411		17.1214	9.24692	7.6941
"2014: Erlenmatt"	3.31626	0.22829	1.8872	6.85411	13.9826
"...."					
"2015: Messe"	2.96998		17.0605	9.24683	7.8193
"2015: Erlenmatt"	3.31677	0.22829	2.0127	6.91770	13.7930
"....."					
"2016: Messe"	2.99178		17.0605	9.20860	7.8357
"2016: Erlenmatt"	5.74541	0.22829	3.3135	7.37543	9.6058
"......"					
"2017: Messe"	2.92321		17.0203	9.20774	7.9453
"2017: Erlenmatt"	5.68094	0.22829	3.3901	7.68864	9.2805
"......."					
"2018: Messe"	3.19269		16.9792	9.27182	7.6529
"2018: Erlenmatt"	5.68094	0.22829	3.6822	7.68864	8.9884
"........"					
"2019: Messe"	3.19269		17.2277	9.26990	7.4063
"2019: Erlenmatt"	6.01843	0.24255	4.4404	7.90971	7.6574
"........."					
"2020: Messe"	3.19231		17.2270	9.26990	7.4074
"2020: Erlenmatt"	6.71231	0.24255	4.7500	8.05540	6.5081
".........."					
"2021: Messe"	3.24666		17.2273	9.26990	7.3527
"2021: Erlenmatt"	6.71231	0.24255	4.7500	8.05540	6.5081
"..........."					
"2022: Messe"	3.19507		17.2055	9.50790	7.1881
"2022: Erlenmatt"	6.71231	0.24255	4.6065	8.16041	6.5467
"............"					
"2023: Messe"	3.23326		17.1564	9.52091	7.1860
"2023: Erlenmatt"	6.71231	0.24572	5.0007	8.16045	6.1493

