"JahrBezirk"	"Parkanlage/Spielplatz"	"Gartenanlage"	"Sportanlage humusiert"	"Gewässervorland humusiert"	"Übrige humusierte"
"2012: Messe"	2306.07	16720.80			2767.54
"2012: Erlenmatt"	20796.18	5076.20		88.1722	6446.51
"."					
"2013: Messe"	2306.20	24283.81			3750.02
"2013: Erlenmatt"	20795.69	5076.06		88.1740	7202.71
".."					
"2014: Messe"	2306.20	24283.81			3751.06
"2014: Erlenmatt"	20795.69	5076.06		88.1740	7202.71
"..."					
"2015: Messe"	2306.20	23925.97			3467.58
"2015: Erlenmatt"	20795.69	5076.06		88.1740	7207.82
"...."					
"2016: Messe"	2306.20	23925.97			3685.63
"2016: Erlenmatt"	19249.00	10697.57	11185.02	88.1740	16234.32
"....."					
"2017: Messe"	2306.20	23240.23			3685.63
"2017: Erlenmatt"	18604.35	10697.57	11185.02	88.1740	16234.32
"......"					
"2018: Messe"	2315.12	25815.19			3796.57
"2018: Erlenmatt"	18604.35	10697.57	11184.99	88.1740	16234.29
"......."					
"2019: Messe"	2315.12	25815.19			3796.57
"2019: Erlenmatt"	18604.35	12187.50	11184.99	88.1740	18119.25
"........"					
"2020: Messe"	2315.12	25811.45			3796.57
"2020: Erlenmatt"	18604.35	18074.20	11174.07	88.1740	19182.30
"........."					
"2021: Messe"	2315.12	26354.86			3796.57
"2021: Erlenmatt"	18604.35	18074.20	11174.07	88.1740	19182.30
".........."					
"2022: Messe"	2315.12	25900.48			3735.06
"2022: Erlenmatt"	18604.35	18074.20	11174.07	88.1740	19182.30
"..........."					
"2023: Messe"	2315.11	26282.41			3735.06
"2023: Erlenmatt"	18604.35	18074.20	11174.07	88.1740	19182.30
"............"					
"2024: Messe"	2315.11	25230.35			3735.06
"2024: Erlenmatt"	18604.35	18074.20	11174.07		19270.90

