WOV_ID	WOV_NAME	Jahr	Anzahl Einwohner über 20 µg/m3	Anteil Einwohner über 20 µg/m3 in %
01	Altstadt Grossbasel	2020	11	0.49
02	Vorstädte	2020	22	0.44
03	Am Ring	2020	0	0
04	Breite	2020	0	0
05	St. Alban	2020	4	0.03
06	Gundeldingen	2020	0	0
07	Bruderholz	2020	0	0
08	Bachletten	2020	0	0
09	Gotthelf	2020	0	0
10	Iselin	2020	0	0
11	St. Johann	2020	84	0.45
12	Altstadt Kleinbasel	2020	0	0
13	Clara	2020	0	0
14	Wettstein	2020	0	0
15	Hirzbrunnen	2020	0	0
16	Rosental	2020	246	3.22
17	Matthäus	2020	227	1.46
18	Klybeck	2020	0	0
19	Kleinhüningen	2020	0	0
20	Riehen	2020	0	0
30	Bettingen	2020	0	0
