"Jahr"	"Effektiv CH"	"Hohes Szenario CH"	"Mittleres Szenario CH"	"Tiefes Szenario CH"	"Effektiv AU"	"Hohes Szenario AU"	"Mittleres Szenario AU"	"Tiefes Szenario AU"
"1985"	1.014	""	""	""	1.517	""	""	""
"1986"	1.055	""	""	""	1.590	""	""	""
"1987"	1.045	""	""	""	1.517	""	""	""
"1988"	1.062	""	""	""	1.562	""	""	""
"1989"	1.013	""	""	""	1.522	""	""	""
"1990"	1.047	""	""	""	1.721	""	""	""
"1991"	1.077	""	""	""	1.845	""	""	""
"1992"	1.032	""	""	""	1.709	""	""	""
"1993"	1.050	""	""	""	1.754	""	""	""
"1994"	0.956	""	""	""	1.879	""	""	""
"1995"	0.927	""	""	""	1.710	""	""	""
"1996"	0.998	""	""	""	1.767	""	""	""
"1997"	0.865	""	""	""	1.831	""	""	""
"1998"	0.948	""	""	""	1.705	""	""	""
"1999"	0.936	""	""	""	1.716	""	""	""
"2000"	0.909	""	""	""	1.750	""	""	""
"2001"	0.917	""	""	""	1.557	""	""	""
"2002"	0.961	""	""	""	1.610	""	""	""
"2003"	1.018	""	""	""	1.587	""	""	""
"2004"	0.983	""	""	""	1.558	""	""	""
"2005"	1.051	""	""	""	1.559	""	""	""
"2006"	0.970	""	""	""	1.679	""	""	""
"2007"	1.079	""	""	""	1.498	""	""	""
"2008"	1.037	""	""	""	1.564	""	""	""
"2009"	1.125	""	""	""	1.575	""	""	""
"2010"	1.185	""	""	""	1.620	""	""	""
"2011"	1.124	""	""	""	1.608	""	""	""
"2012"	1.177	""	""	""	1.570	""	""	""
"2013"	1.120	""	""	""	1.690	""	""	""
"2014"	1.169	""	""	""	1.506	""	""	""
"2015"	1.201	""	""	""	1.546	""	""	""
"2016"	1.156	""	""	""	1.752	""	""	""
"2017"	1.186	""	""	""	1.544	""	""	""
"2018"	1.125	""	""	""	1.584	""	""	""
"2019"	1.093	""	""	""	1.534	""	""	""
"2020"	1.124	""	""	""	1.410	""	""	""
"2021"	1.071	""	""	""	1.509	""	""	""
"2022"	1.012	""	""	""	1.247	""	""	""
"2023"	0.988	""	""	""	1.299	""	""	""
"2024"	""	1.070	1.018	0.966	""	1.435	1.341	1.247
"2025"	""	1.073	1.015	0.956	""	1.433	1.336	1.238
"2026"	""	1.076	1.013	0.949	""	1.431	1.332	1.231
"2027"	""	1.078	1.012	0.944	""	1.430	1.328	1.226
"2028"	""	1.079	1.010	0.939	""	1.428	1.326	1.222
"2029"	""	1.081	1.009	0.935	""	1.427	1.324	1.218
"2030"	""	1.082	1.008	0.932	""	1.427	1.322	1.215
"2031"	""	1.083	1.007	0.929	""	1.426	1.320	1.212
"2032"	""	1.084	1.006	0.927	""	1.425	1.319	1.210
"2033"	""	1.084	1.006	0.924	""	1.425	1.317	1.208
"2034"	""	1.085	1.005	0.922	""	1.424	1.316	1.206
"2035"	""	1.086	1.005	0.920	""	1.424	1.315	1.204
"2036"	""	1.086	1.004	0.918	""	1.423	1.314	1.202
"2037"	""	1.087	1.003	0.917	""	1.423	1.313	1.201
"2038"	""	1.088	1.003	0.915	""	1.422	1.312	1.199
"2039"	""	1.088	1.003	0.914	""	1.422	1.311	1.198
"2040"	""	1.089	1.002	0.912	""	1.421	1.310	1.196
"2041"	""	1.089	1.002	0.911	""	1.421	1.309	1.195
"2042"	""	1.090	1.001	0.910	""	1.421	1.309	1.194
"2043"	""	1.090	1.001	0.909	""	1.421	1.308	1.193
"2044"	""	1.090	1.001	0.907	""	1.420	1.307	1.192
"2045"	""	1.091	1.000	0.906	""	1.420	1.307	1.191

