"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	1463	""	""	""
"1986"	-84	""	""	""
"1987"	1102	""	""	""
"1988"	552	""	""	""
"1989"	939	""	""	""
"1990"	2047	""	""	""
"1991"	2267	""	""	""
"1992"	1093	""	""	""
"1993"	1080	""	""	""
"1994"	827	""	""	""
"1995"	849	""	""	""
"1996"	455	""	""	""
"1997"	-8	""	""	""
"1998"	520	""	""	""
"1999"	411	""	""	""
"2000"	142	""	""	""
"2001"	1415	""	""	""
"2002"	2554	""	""	""
"2003"	1921	""	""	""
"2004"	1803	""	""	""
"2005"	1503	""	""	""
"2006"	1624	""	""	""
"2007"	2259	""	""	""
"2008"	2918	""	""	""
"2009"	2754	""	""	""
"2010"	985	""	""	""
"2011"	2457	""	""	""
"2012"	2398	""	""	""
"2013"	2765	""	""	""
"2014"	2070	""	""	""
"2015"	1766	""	""	""
"2016"	1893	""	""	""
"2017"	1585	""	""	""
"2018"	1842	""	""	""
"2019"	""	2430	1574	616
"2020"	""	2769	1826	777
"2021"	""	2968	1963	850
"2022"	""	3129	2069	923
"2023"	""	3243	2135	972
"2024"	""	3302	2158	1003
"2025"	""	3310	2145	1016
"2026"	""	3263	2096	1016
"2027"	""	3164	2020	1009
"2028"	""	3022	1925	992
"2029"	""	2852	1819	977
"2030"	""	2665	1712	959
"2031"	""	2482	1611	945
"2032"	""	2316	1523	931
"2033"	""	2187	1455	918
"2034"	""	2097	1410	912
"2035"	""	2045	1383	904
"2036"	""	2028	1372	903
"2037"	""	2030	1369	898
"2038"	""	2049	1377	899
"2039"	""	2074	1386	901
"2040"	""	2100	1398	903

