"Jahr"	"Effektiv BS"	"Hohes Szenario BS"	"Mittleres Szenario BS"	"Tiefes Szenario BS"	"Effektiv KB"	"Hohes Szenario KB"	"Mittleres Szenario KB"	"Tiefes Szenario KB"
"1985"	0.1982	""	""	""	0.2669	""	""	""
"1986"	0.1979	""	""	""	0.2649	""	""	""
"1987"	0.2037	""	""	""	0.2775	""	""	""
"1988"	0.2083	""	""	""	0.2859	""	""	""
"1989"	0.2148	""	""	""	0.2959	""	""	""
"1990"	0.2248	""	""	""	0.3093	""	""	""
"1991"	0.2348	""	""	""	0.3231	""	""	""
"1992"	0.2431	""	""	""	0.3345	""	""	""
"1993"	0.2504	""	""	""	0.3431	""	""	""
"1994"	0.2560	""	""	""	0.3540	""	""	""
"1995"	0.2616	""	""	""	0.3638	""	""	""
"1996"	0.2650	""	""	""	0.3704	""	""	""
"1997"	0.2671	""	""	""	0.3729	""	""	""
"1998"	0.2694	""	""	""	0.3737	""	""	""
"1999"	0.2748	""	""	""	0.3807	""	""	""
"2000"	0.2756	""	""	""	0.3794	""	""	""
"2001"	0.2802	""	""	""	0.3802	""	""	""
"2002"	0.2886	""	""	""	0.3910	""	""	""
"2003"	0.2943	""	""	""	0.3935	""	""	""
"2004"	0.2993	""	""	""	0.3948	""	""	""
"2005"	0.3043	""	""	""	0.3985	""	""	""
"2006"	0.3114	""	""	""	0.4053	""	""	""
"2007"	0.3126	""	""	""	0.4005	""	""	""
"2008"	0.3172	""	""	""	0.4051	""	""	""
"2009"	0.3245	""	""	""	0.4107	""	""	""
"2010"	0.3264	""	""	""	0.4092	""	""	""
"2011"	0.3337	""	""	""	0.4168	""	""	""
"2012"	0.3387	""	""	""	0.4222	""	""	""
"2013"	0.3456	""	""	""	0.4262	""	""	""
"2014"	0.3501	""	""	""	0.4315	""	""	""
"2015"	0.3529	""	""	""	0.4335	""	""	""
"2016"	0.3572	""	""	""	0.4374	""	""	""
"2017"	0.3599	""	""	""	0.4397	""	""	""
"2018"	0.3642	""	""	""	0.4416	""	""	""
"2019"	""	0.3687	0.3664	0.3637	""	0.4460	0.4436	0.4408
"2020"	""	0.3739	0.3690	0.3633	""	0.4513	0.4461	0.4399
"2021"	""	0.3793	0.3718	0.3629	""	0.4573	0.4488	0.4387
"2022"	""	0.3848	0.3747	0.3624	""	0.4637	0.4518	0.4374
"2023"	""	0.3904	0.3775	0.3619	""	0.4703	0.4548	0.4360
"2024"	""	0.3959	0.3803	0.3613	""	0.4768	0.4578	0.4344
"2025"	""	0.4012	0.3829	0.3605	""	0.4830	0.4607	0.4328
"2026"	""	0.4062	0.3853	0.3597	""	0.4889	0.4634	0.4311
"2027"	""	0.4107	0.3873	0.3587	""	0.4941	0.4658	0.4294
"2028"	""	0.4148	0.3891	0.3576	""	0.4988	0.4678	0.4277
"2029"	""	0.4184	0.3905	0.3563	""	0.5028	0.4695	0.4261
"2030"	""	0.4215	0.3915	0.3549	""	0.5063	0.4709	0.4244
"2031"	""	0.4242	0.3923	0.3534	""	0.5091	0.4719	0.4227
"2032"	""	0.4264	0.3928	0.3517	""	0.5116	0.4726	0.4210
"2033"	""	0.4284	0.3931	0.3500	""	0.5136	0.4732	0.4193
"2034"	""	0.4301	0.3932	0.3481	""	0.5155	0.4736	0.4176
"2035"	""	0.4318	0.3933	0.3462	""	0.5172	0.4741	0.4158
"2036"	""	0.4334	0.3933	0.3443	""	0.5189	0.4745	0.4139
"2037"	""	0.4350	0.3932	0.3423	""	0.5206	0.4749	0.4120
"2038"	""	0.4366	0.3932	0.3402	""	0.5223	0.4755	0.4101
"2039"	""	0.4383	0.3931	0.3381	""	0.5241	0.4761	0.4081
"2040"	""	0.4400	0.3931	0.3359	""	0.5259	0.4768	0.4061

