"WOV_NAME"	"Quadratmeterpreis"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"Jahr"
"Altstadt Grossbasel"	20.068928	18.4128136	21.7250431	"'Nettomietpreise nach Wohnviertel'"
"Am Ring"	19.563045	18.9791619	20.1469282	"'Nettomietpreise nach Wohnviertel'"
"Altstadt Kleinbasel"	19.468983	18.0123220	20.9256449	"'Nettomietpreise nach Wohnviertel'"
"Rosental"	19.21804	18.7422008	19.6938798	"'Nettomietpreise nach Wohnviertel'"
"Vorstädte"	19.128576	18.2725298	19.9846225	"'Nettomietpreise nach Wohnviertel'"
"Clara"	18.982508	18.2850424	19.6799732	"'Nettomietpreise nach Wohnviertel'"
"St. Alban"	18.969245	18.5333622	19.4051283	"'Nettomietpreise nach Wohnviertel'"
"Wettstein"	18.762248	18.0032981	19.5211977	"'Nettomietpreise nach Wohnviertel'"
"Gundeldingen"	18.521565	18.2347409	18.8083898	"'Nettomietpreise nach Wohnviertel'"
"St. Johann"	18.344498	18.0628388	18.6261571	"'Nettomietpreise nach Wohnviertel'"
"Matthäus"	18.197805	17.8068748	18.5887346	"'Nettomietpreise nach Wohnviertel'"
"Riehen/Bettingen"	18.144134	17.8368892	18.4513784	"'Nettomietpreise nach Wohnviertel'"
"Bruderholz"	17.981939	17.3206234	18.6432544	"'Nettomietpreise nach Wohnviertel'"
"Bachletten"	17.936689	17.5529945	18.3203833	"'Nettomietpreise nach Wohnviertel'"
"Gotthelf"	17.892952	17.3747891	18.4111148	"'Nettomietpreise nach Wohnviertel'"
"Breite"	17.784852	17.3377894	18.2319140	"'Nettomietpreise nach Wohnviertel'"
"Iselin"	17.36949	17.0629490	17.6760305	"'Nettomietpreise nach Wohnviertel'"
"Kleinhüningen"	17.187291	16.5677121	17.8068705	"'Nettomietpreise nach Wohnviertel'"
"Klybeck"	17.086287	16.5691561	17.6034185	"'Nettomietpreise nach Wohnviertel'"
"Hirzbrunnen"	16.978572	16.5593294	17.3978139	"'Nettomietpreise nach Wohnviertel'"

