JahrBezirk	Einpersonenhaushalte	Familienhaushalte	Andere Haushalte
2013: Messe	1022	932	324
2013: Erlenmatt	109	129	33
.			
2014: Messe	1016	899	337
2014: Erlenmatt	115	119	36
..			
2015: Messe	1018	881	351
2015: Erlenmatt	322	266	113
...			
2016: Messe	991	898	382
2016: Erlenmatt	364	330	143
....			
2017: Messe	1015	884	351
2017: Erlenmatt	375	370	123
.....			
2018: Messe	1066	873	357
2018: Erlenmatt	389	411	139
......			
2019: Messe	1087	888	364
2019: Erlenmatt	552	516	180
.......			
2020: Messe	1069	878	351
2020: Erlenmatt	526	556	199
........			
2021: Messe	1089	872	351
2021: Erlenmatt	544	557	183
.........			
2022: Messe	1115	865	359
2022: Erlenmatt	541	566	176
