"Gemeinde"	"GemeindeDescr"	"Bevölkerungsdichte"
2471	Bättwil	700
2472	Büren (SO)	171.10754414
2473	Dornach	1173.5751295
2474	Gempen	154.09015025
2475	Hochwald	152.45508982
2476	Hofstetten-Flüh	445.87765957
2477	Metzerlen-Mariastein	111.55660377
2478	Nuglar-St. Pantaleon	243.21766562
2479	Rodersdorf	258.31775701
2480	Seewen	65.297363581
2481	Witterswil	541.57303371
2611	Bärschwil	70.241286863
2613	Breitenbach	610.73529412
2614	Büsserach	312.71523179
2615	Erschwil	126.9179004
2616	Fehren	406.75675676
2617	Grindel	163.31168831
2618	Himmelried	158.54063018
2619	Kleinlützel	72.977941176
2620	Meltingen	112.84722222
2621	Nunningen	190.97963143
2622	Zullwil	180.32786885
2701	Basel	7276.8134172
2702	Bettingen	577.57847534
2703	Riehen	2018.951242
2761	Aesch (BL)	1433.3783784
2762	Allschwil	2435.7705287
2763	Arlesheim	1337.6623377
2764	Biel-Benken	862.86407767
2765	Binningen	3504.7085202
2766	Birsfelden	4089.2430279
2767	Bottmingen	2314.3812709
2768	Ettingen	884.01898734
2769	Münchenstein	1683.1710709
2770	Muttenz	1076.0960961
2771	Oberwil (BL)	1428.7705957
2772	Pfeffingen	490.79754601
2773	Reinach (BL)	2821.6642755
2774	Schönenbuch	1097.037037
2775	Therwil	1296.8668407
2781	Blauen	98.595505618
2782	Brislach	180.57324841
2783	Burg im Leimental	95.422535211
2784	Dittingen	108.14814815
2785	Duggingen	272.69624573
2786	Grellingen	585.41033435
2787	Laufen	518.07017544
2788	Liesberg	86.918138042
2789	Nenzlingen	126.77595628
2791	Röschenz	186.49453823
2792	Wahlen	285.02772643
2793	Zwingen	582.42950108
2821	Arisdorf	170.8
2822	Augst	640.60606061
2823	Bubendorf	411.01851852
2824	Frenkendorf	1417.6470588
2825	Füllinsdorf	1005.6277056
2826	Giebenach	835.82089552
2827	Hersberg	218.07228916
2828	Lausen	1036.2657092
2829	Liestal	848.18481848
2830	Lupsingen	483.60128617
2831	Pratteln	1536.6946779
2832	Ramlinsburg	330.66666667
2833	Seltisberg	365.4494382
2834	Ziefen	208.69565217
2842	Böckten	353.50877193
2843	Buckten	358.5
2844	Buus	126.10169492
2845	Diepflingen	545.13888889
2846	Gelterkinden	635.68507157
2848	Hemmiken	77.876106195
2849	Itingen	742.17252396
2850	Känerkinden	356.08108108
2853	Maisprach	184.4488189
2854	Nusshof	160.46511628
2856	Ormalingen	336.21933622
2857	Rickenbach (BL)	200.34482759
2858	Rothenfluh	71.232876712
2859	Rümlingen	192.54385965
2860	Rünenberg	156.33802817
2861	Sissach	765.39325843
2862	Tecknau	349.57264957
2863	Tenniken	194.21841542
2864	Thürnen	630.53097345
2866	Wintersingen	88.633093525
2867	Wittinsburg	133.75
2869	Zunzgen	396.35568513
2881	Arboldswil	170.31700288
2882	Bennwil	100.91883614
2883	Bretzwil	102.18281037
2884	Diegten	169.70954357
2886	Hölstein	432.66998342
2887	Lampenberg	136.159601
2889	Lauwil	43.424657534
2890	Liedertswil	84.020618557
2891	Niederdorf	406.12244898
2892	Oberdorf (BL)	390.66022544
2893	Reigoldswil	168.64864865
2894	Titterten	111.32075472
2895	Waldenburg	132.09134615
4251	Hellikon	116.05113636
4252	Kaiseraugst	1120.4081633
4253	Magden	353.35753176
4254	Möhlin	597.39361702
4256	Obermumpf	214.34262948
4257	Olsberg	78.30802603
