Aggloteile2	Obligatorische Schule	Sekundarstufe II	Tertiärstufe
Basel: Agglomeration	70801	215378	177726
Basel: Kernstadt	16822	32462	50487
Basel: Übrige Agglomeration CH	26819	97627	77739
Basel: Agglomeration D	17820	59160	32770
Basel: Agglomeration F	9340	26128	16731
......			
Bern: Agglomeration	26477	99973	104521
Bern: Kernstadt	9166	25798	43787
Bern: Übrige Agglomeration CH	17310	74175	60734
.........			
Genf: Agglomeration	93982	163159	227016
Genf: Kernstadt	24831	24586	57211
Genf: Übrige Agglomeration CH	42433	65022	93875
Genf: Agglomeration F	26718	73551	75930
.............			
Lausanne: Agglomeration	47672	79417	106717
Lausanne: Kernstadt	18080	21201	41544
Lausanne: Übrige Agglomeration CH	29593	58216	65173
................			
Zürich: Agglomeration	106427	299498	380640
Zürich: Kernstadt	31646	68634	151003
Zürich: Übrige Agglomeration CH	74781	230864	229637
