WohnviertelId	Wohnviertel_Name	2016	Differenz 2016 zu 2007	2007
1	Altstadt GB	99.4	16.5	82.9
2	Vorstädte	115.9	9.8	106.1
3	Am Ring	181.5	6.9	174.6
4	Breite	244.4	12.8	231.6
5	St. Alban	74.2	5.4	68.8
6	Gundeldingen	277	-0.4	277.4
7	Bruderholz	78.3	3.8	74.5
8	Bachletten	160.5	3.6	156.9
9	Gotthelf	230	5.3	224.7
10	Iselin	296	17.4	278.6
11	St. Johann	147.2	6.2	141
12	Altstadt KB	189.8	21.1	168.7
13	Clara	292.9	11.3	281.6
14	Wettstein	141.5	3.5	138
15	Hirzbrunnen	146	12.5	133.5
16	Rosental	184.2	49.7	134.5
17	Matthäus	397.2	4.7	392.5
18	Klybeck	126.5	2.8	123.7
19	Kleinhüningen	51.5	5.8	45.7
20	Riehen	68.7	0.9	67.8
30	Bettingen	42	3.5	38.5
