"JAHR"	"Klybeck"	"Kleinhüningen"	"Stadt Basel"
2000	49.0598	39.9238	29.4171
2001	48.6729	40.7956	29.8282
2002	49.4797	43.6334	30.6928
2003	50.1847	43.7700	31.2406
2004	49.9500	43.3468	31.7215
2005	50.6769	45.2344	32.2189
2006	50.5897	46.1298	32.9197
2007	49.1176	43.7057	32.9627
2008	48.1336	42.6557	33.3922
2009	49.0318	45.3202	34.1011
2010	48.7481	43.7500	34.1639
2011	50.0276	44.7203	34.8611
2012	51.0044	45.5335	35.3653
2013	50.6581	45.7262	36.0134
2014	51.4562	45.6885	36.3741
2015	51.7786	46.3793	36.6360
2016	51.6662	46.9063	37.0133
2017	52.3501	47.4332	37.2626
2018	52.2007	47.9706	37.6829
2019	51.8585	46.9979	37.8004
2020	51.8565	48.7362	38.1908
2021	52.3734	47.9811	38.0880
2022	53.2744	49.5166	39.1422
2023	53.1313	51.6973	39.6034

