"JahrBezirk"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2015: Klybeck"	430	576	610	732	179	778	82	73	106	204
"2015: Kleinhüningen"	188	199	184	152	40	312	19	75	68	108
"."										
"2016: Klybeck"	410	565	578	708	199	752	72	96	137	204
"2016: Kleinhüningen"	192	196	179	152	64	288	27	85	59	115
".."										
"2017: Klybeck"	409	552	570	741	230	749	70	107	155	215
"2017: Kleinhüningen"	185	203	174	152	68	296	26	71	50	124
"..."										
"2018: Klybeck"	435	552	528	761	217	737	79	102	165	231
"2018: Kleinhüningen"	184	215	172	162	66	301	28	67	49	127
"...."										
"2019: Klybeck"	430	551	511	741	232	692	73	110	170	243
"2019: Kleinhüningen"	171	202	162	175	71	284	24	71	52	103

