Publikationsjahr	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.			
2015: Klybeck	342	1348	1404	504	100	27
2015: Kleinhüningen	92	343	672	196	31	21
.			
2016: Klybeck	357	1347	1404	502	100	31
2016: Kleinhüningen	94	345	674	197	31	19
..			
2017: Klybeck	359	1352	1405	501	104	26
2017: Kleinhüningen	94	346	674	197	31	19
...			
2018: Klybeck	364	1353	1406	509	106	26
2018: Kleinhüningen	95	347	673	197	30	19
....			
2019: Klybeck	411	1365	1414	509	111	35
2019: Kleinhüningen	96	347	667	203	30	19
.....			
2020: Klybeck	407	1355	1411	504	111	35
2020: Kleinhüningen	96	374	668	211	31	19
......			
2021: Klybeck	417	1356	1419	503	110	29
2021: Kleinhüningen	105	375	667	214	31	19
.......
2022: Klybeck	458	1366	1434	503	112	29
2022: Kleinhüningen	219	395	667	214	31	19
........
2023: Klybeck	461	1377	1444	500	112	29
2023: Kleinhüningen	218	384	667	220	31	19
.........
2024: Klybeck	465	1390	1444	498	109	29
2024: Kleinhüningen	222	388	672	219	31	19
