Jahr	Anzahl Genossenschaftswohnungen KlybeckKleinhüningen	Anzahl Genossenschaftswohnungen Klybeck	Anzahl Genossenschaftswohnungen Kleinhüningen	Anteil am Bestand KlybeckKleinhüningen (rechte Skala)	Anteil am Bestand Klybeck (rechte Skala)	Anteil am Bestand Kleinhüningen (rechte Skala)	Gesamter Wohnungsbestand KlybeckKleinhüningen	Gesamter Wohnungsbestand Klybeck	Gesamter Wohnungsbestand Kleinhüningen
2013	798	493	305	16.7471143756550	14.1911341393200	23.6250968241670	4765	3474	1291
2014	798	491	307	16.7823343848580	14.1335636154280	23.9656518345040	4755	3474	1281
2015	790	486	304	16.7870803229910	14.1773628938150	23.7871674491390	4706	3428	1278
2016	785	482	303	16.7950363714160	14.1889902855460	23.7274862960060	4674	3397	1277
2017	756	456	300	16.1331626120350	13.3567662565900	23.5849056603770	4686	3414	1272
2018	776	473	303	16.5564326861530	13.8182880514160	23.9715189873410	4687	3423	1264
2019	764	470	294	16.0875973889240	13.4709085697908	23.3333333333333	4749	3489	1260
2020	754	473	281	16.2360034453050	13.8913362701900	22.6795803066980	4644	3405	1239
2020	754	473	281	16.2360034453050	13.8913362701900	22.6795803066980	4644	3405	1239
2021	751	472	279	16.2097992661343	13.9727649496744	22.2310756972112	4633	3378	1255
2022	749	465	284	16.0660660660660	13.6885487194580	22.4505928853750	4662	3397	1265
2023	758	469	289	16.0491213211940	13.6934306569340	22.2650231124800	4723	3425	1298
