"schuljahr"	"Klybeck"	"Kleinhüningen"	"Stadt Basel"
"2014"	18.029739777	22.666666667	45.68055991
"2015"	15.873015873	22.457627119	45.59120258
"2016"	16.216216216	20.661157025	46.1256077
"2017"	15.719063545	23.008849558	46.25508032
"2018"	17.171717172	23.348017621	46.2327791
"2019"	18.181818182	22.966507177	46.56922074
"2020"	19.521178637	22.274881517	47.44766801
"2021"	21.217712177	22.727272727	47.24537876
"2022"	19.423076923	19.117647059	46.60442174
"2023"	19.449901768	19.796954315	46.61896868

