"Jahr"	"Freiraumfläche Kleinhüningen"	"Anteil Freiraumfläche Kleinhüningen (rechte Skala)"	"Freiraumfläche Klybeck"	"Anteil Freiraumfläche Klybeck (rechte Skala)"
2008	4840	0.36	29428	3.20
2009	4840	0.36	29428	3.20
2010	4885	0.36	29428	3.20
2011	4885	0.36	29428	3.20
2012	4885	0.36	29428	3.20
2013	4885	0.36	23479	2.55
2014	4885	0.36	23360	2.54
2015	4885	0.36	23360	2.54
2016	4885	0.36	23360	2.54
2017	4885	0.36	23360	2.54
2018	4885	0.36	23360	2.54
2019	4885	0.36	23407	2.54
2020	4885	0.36	23407	2.54
2021	4885	0.36	23407	2.54
2022	4886	0.36	23407	2.54

