"Codegeo"	"GemeindeDescr"	"Bevölkerungsdichte"
08336006	Bad Bellingen	271.70702894
08336008	Binzen	520.48192771
08336014	Efringen-Kirchen	198.14857143
08336019	Eimeldingen	721.97183099
08336024	Fischingen	416.4021164
08336034	Hasel	94.678111588
08336036	Hausen im Wiesental	462.25680934
08336043	Inzlingen	265.40084388
08336045	Kandern	132.87825249
08336050	Lörrach	1251.993904
08336057	Maulburg	439.67112025
08336069	Rheinfelden (Baden)	526.63164597
08336073	Rümmingen	424.43946188
08336075	Schallbach	195.18987342
08336081	Schopfheim	288.0924345
08336082	Schwörstadt	128.56430708
08336084	Steinen	213.19103522
08336091	Weil am Rhein	1549.331963
08336100	Wittlingen	206
08336103	Zell im Wiesental	174.14174972
08336104	Malsburg-Marzell	59.076305221
08336105	Grenzach-Wyhlen	853.01274623
08336106	Häg-Ehrsberg	33.466453674
08336107	Kleines Wiesental	36.892829607
11042471	Bättwil	698.20359281
11042472	Büren (SO)	169.98394864
11042473	Dornach	1182.9015544
11042474	Gempen	150.41736227
11042475	Hochwald	154.49101796
11042476	Hofstetten-Flüh	426.7287234
11042477	Metzerlen-Mariastein	109.08018868
11042478	Nuglar-St. Pantaleon	234.70031546
11042479	Rodersdorf	249.71962617
11042480	Seewen	61.496014715
11042481	Witterswil	543.82022472
11102611	Bärschwil	71.581769437
11102613	Breitenbach	575.58823529
11102614	Büsserach	304.37086093
11102616	Fehren	410.81081081
11102618	Himmelried	157.04809287
11102619	Kleinlützel	75.857843137
11102620	Meltingen	115.97222222
11102621	Nunningen	183.99612027
11102622	Zullwil	176.50273224
12002701	Basel	7263.3962264
12002702	Bettingen	521.52466368
12002703	Riehen	1973.2290708
13012761	Aesch (BL)	1399.4594595
13012762	Allschwil	2372.3284589
13012763	Arlesheim	1321.5007215
13012764	Biel-Benken	843.68932039
13012765	Binningen	3541.0313901
13012766	Birsfelden	4156.1752988
13012767	Bottmingen	2268.5618729
13012768	Ettingen	847.15189873
13012769	Münchenstein	1683.449235
13012770	Muttenz	1075.6756757
13012771	Oberwil (BL)	1422.1799747
13012772	Pfeffingen	484.45807771
13012773	Reinach (BL)	2751.9368723
13012774	Schönenbuch	1043.7037037
13012775	Therwil	1294.7780679
13022781	Blauen	98.174157303
13022782	Brislach	175.79617834
13022783	Burg im Leimental	97.183098592
13022784	Dittingen	104.88888889
13022785	Duggingen	263.99317406
13022786	Grellingen	568.69300912
13022787	Laufen	495
13022789	Nenzlingen	124.31693989
13022791	Röschenz	188.38133069
13022792	Wahlen	270.97966728
13022793	Zwingen	532.10412148
13032821	Arisdorf	165.3
13032822	Augst	631.51515152
13032823	Bubendorf	407.59259259
13032824	Frenkendorf	1406.1002179
13032825	Füllinsdorf	993.07359307
13032826	Giebenach	784.32835821
13032827	Hersberg	198.79518072
13032828	Lausen	955.11669659
13032829	Liestal	791.58415842
13032830	Lupsingen	466.23794212
13032831	Pratteln	1554.6218487
13032832	Ramlinsburg	314.66666667
13032833	Seltisberg	362.35955056
13032834	Ziefen	199.61636829
13042842	Böckten	361.84210526
13042843	Buckten	344.5
13042844	Buus	120.79096045
13042845	Diepflingen	539.58333333
13042846	Gelterkinden	640.8997955
13042848	Hemmiken	75.221238938
13042849	Itingen	689.77635783
13042850	Känerkinden	360.13513514
13042853	Maisprach	183.07086614
13042854	Nusshof	152.3255814
13042856	Ormalingen	326.26262626
13042857	Rickenbach (BL)	201.72413793
13042859	Rümlingen	188.59649123
13042860	Rünenberg	150.10060362
13042861	Sissach	751.23595506
13042862	Tecknau	358.54700855
13042863	Tenniken	195.93147752
13042864	Thürnen	600.88495575
13042865	Wenslingen	119.25675676
13042866	Wintersingen	87.338129496
13042867	Wittinsburg	137.1875
13042869	Zunzgen	380.75801749
13052881	Arboldswil	167.14697406
13052882	Bennwil	102.143951
13052883	Bretzwil	102.72851296
13052884	Diegten	168.46473029
13052886	Hölstein	423.88059701
13052887	Lampenberg	126.68329177
13052889	Lauwil	43.150684932
13052891	Niederdorf	418.59410431
13052892	Oberdorf (BL)	386.95652174
13052893	Reigoldswil	171.67567568
13052894	Titterten	112.93800539
19094251	Hellikon	111.50568182
19094252	Kaiseraugst	1129.1836735
19094253	Magden	352.54083485
19094254	Möhlin	587.60638298
19094255	Mumpf	494.58598726
19094256	Obermumpf	208.56573705
19094257	Olsberg	78.30802603
19094258	Rheinfelden	842.88389513
19094262	Wegenstetten	146.06741573
