	2017	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze	2022	95% Konfidenzintervall Untergrenze	95% Konfidenzintervall Obergrenze
Total	8.1	6.7	9.5	10.0	8.5	11.6
Männer	8.6	6.6	10.7	8.8	6.6	11.0
Frauen	7.6	5.8	9.4	11.3	9.2	13.4
15-34 Jahre	8.5	5.8	11.2	18.1	14.1	22.1
35-49 Jahre	10.5	7.3	13.7	8.7	6.1	11.4
50-64 Jahre	8.6	6.0	11.2	9.5	6.5	12.6
>64 Jahre	4.3	2.3	6.3	2.8	1.6	4.1
Obligat. Schule	13.3	8.9	17.6	11.7	4.3	19.0
Sekundarstufe II	8.4	6.5	10.3	10.2	7.8	12.6
Tertiärstufe	5.6	3.6	7.6	6.6	4.7	8.5
o. Migrationsh.	6.5	5.0	8.0	8.0	6.4	9.6
m. Migrationsh.	10.8	8.1	13.4	13.1	10.2	16.0
