	 Median 2007	 Median Kt. BS 2007	 Median 2016	 Median Kt. BS 2016
Altstadt GB	26730	11398	31236	18772
Vorstädte 	23802	11398	48881	18772
Am Ring 	21262	11398	38772	18772
Breite 	10261	11398	14148	18772
St. Alban 	45334	11398	59000	18772
Gundeldingen 	4579	11398	12709	18772
Bruderholz 	56199	11398	74863	18772
Bachletten 	31950	11398	45676	18772
Gotthelf 	19259	11398	27817	18772
Iselin 	7059	11398	9631	18772
St. Johann 	3542	11398	8176	18772
Altstadt KB	5195	11398	10020	18772
Clara 	3791	11398	8111	18772
Wettstein 	16657	11398	31499	18772
Hirzbrunnen 	15967	11398	18501	18772
Rosental 	204	11398	3833	18772
Matthäus 	1120	11398	5302	18772
Klybeck 	528	11398	1965	18772
Kleinhüning. 	1546	11398	3763	18772
Riehen 	44334	11398	60135	18772
Bettingen	59334	11398	99999	18772
