	Regelmässig	Hin und wieder	Selten	Nie	Nicht möglich/nicht vorhanden	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	0.6	3.4	5.3	35.8	27.3	27.7
Mehrpersonen-HH (n=921)	0.1	4.3	4.9	47.2	19.7	23.8
*Geschlecht						
Männlich (n=627)	0.2	4.1	5.4	51.5	18.8	19.9
Weiblich (n=793)	0.4	3.9	4.8	36.4	25.3	29.1
*Alter						
55-64 Jahre (n=477)	0.6	8.2	11.3	50.5	14.5	14.9
65-74 Jahre (n=475)	0.2	2.5	2.7	43.4	29.5	21.7
>74 Jahre (n=463)	0	1.3	1.1	35	23.5	39.1
*Staatsangehörigkeit						
Schweiz (n=1 309)	0.2	4	5.1	42.6	22.5	25.5
Ausland (n=107)	0.9	3.7	4.7	50.5	20.6	19.6
*Haushaltseinkommen						
<5 000 Fr. (n=447)	0.2	2.9	3.8	39.1	25.7	28.2
5 000-7 499 Fr. (n=327)	0.9	3.4	4.3	45	21.7	24.8
>7 499 Fr. (n=449)	0	5.6	7.6	49	18.7	19.2
*Wahlkreis						
Grossbasel Ost (n=404)	0.5	4.2	3.5	44.8	24.5	22.5
Grossbasel West (n=438)	0.2	3.9	5.7	41.6	24.9	23.7
Kleinbasel (n=288)	0.3	3.1	6.6	41.7	21.5	26.7
Riehen, Bettingen (n=252)	0	4.8	4.8	47.2	15.1	28.2
*Befragungsjahr						
2011 (N=1 689)	0.3	2	4.4	41.1	18.8	33.5
2015 (N=1 427)	0.3	4	5	43.2	22.4	25.2
