Jahr	Bevölkerung	Zielpfad	Bewertung
1774	16726		
1815	18365		
1835	23254		
1837	24316		
1847	28067		
1850	29555		
1860	40680		
1870	47040		
1880	64207		
1888	73749		
1900	112227		
1901	114140		
1902	116620		
1903	118960		
1904	121580		
1905	123930		
1906	126930		
1907	129380		
1908	130850		
1909	133180		
1910	136171		
1911	138236		
1912	141499		
1913	143984		
1914	141453		
1915	139700		
1916	139543		
1917	139224		
1918	137578		
1919	139104		
1920	140920		
1921	140595		
1922	141001		
1923	141855		
1924	142632		
1925	143964		
1926	146739		
1927	148073		
1928	150530		
1929	153369		
1930	155091		
1931	159054		
1932	163131		
1933	165241		
1934	167165		
1935	168528		
1936	168827		
1937	168797		
1938	169700		
1939	170067		
1940	169131		
1941	169961		
1942	170842		
1943	171904		
1944	173928		
1945	176794		
1946	181595		
1947	186489		
1948	190773		
1949	193359		
1950	196319		
1951	199487		
1952	201707		
1953	204383		
1954	206415		
1955	208689		
1956	211297		
1957	215186		
1958	218395		
1959	220096		
1960	222489		
1961	225111		
1962	228195		
1963	230599		
1964	231810		
1965	231764		
1966	232091		
1967	231245		
1968	232617		
1969	232795		
1970	236219		
1971	232379		
1972	229966		
1973	227343		
1974	223837		
1975	220334		
1976	216004		
1977	212446		
1978	210032		
1979	208079		
1980	206533		
1981	205006		
1982	203819		
1983	203104		
1984	202288		
1985	201903		
1986	199548		
1987	198204		
1988	196405		
1989	195859		
1990	196419		
1991	198094		
1992	198456		
1993	199186		
1994	198729		
1995	197802		
1996	196489		
1997	194253		
1998	192121		
1999	190141		
2000	188581		
2001	187459		
2002	188015		
2003	188213		
2004	188477		
2005	187920		
2006	187792		
2007	188000		
2008	189556		
2009	190815		
2010	190799		
2011	192304		
2012	193459		
2013	195459		
2014	196471		
2015	197204		
2016	198206		
2017	198988		
2018	200256		
2019	200407	200407	
2020	201971	201632	0
2021	201805	202856	2
2022	204550	204081	0
2023	206308	205305	0
2024	207515	206530	0
2025		207754	
2026		208979	
2027		210204	
2028		211428	
2029		212653	
2030		213877	
2031		215102	
2032		216326	
2033		217551	
2034		218775	
2035		220000	
