Alter	Basel-Stadt	Basel-Landschaft	Jura
≤14	13.587856859736	14.4702921366633	15.054491301699
15-19	3.95200878111248	4.79116355373501	5.36248561565017
20-24	4.59534722998587	4.93687524837221	5.89182968929804
25-29	7.12245789842773	5.1528953830791	5.96764367427063
30-34	8.77145731911823	5.79857820710081	6.17342449062479
35-39	8.35730184057809	6.43339209352721	5.96358221078995
40-44	7.62909963107132	6.66197943732869	5.87423001421512
45-49	6.69305743294747	6.60152097195474	6.23840790631558
50-54	6.45980913276351	7.42959815499784	6.97353279631761
55-59	6.97712235626518	7.95300543107225	7.47580044676098
60-64	6.08986411634974	6.91672016221889	6.92614905570974
≥65	19.7646174016444	22.8539792199499	22.0984227983483





