Datum	Basel-Stadt	Basel-Landschaft	Jura	Schweiz
2014-01	3.7	2.8	4.1	3.4
2014-02	3.7	2.8	4	3.3
2014-03	3.6	2.8	3.9	3.2
2014-04	3.4	2.8	3.5	3.1
2014-05	3.2	2.6	3.4	2.9
2014-06	3.1	2.6	3.3	2.8
2014-07	3.1	2.6	3.4	2.8
2014-08	3.1	2.5	3.5	2.9
2014-09	3.2	2.5	3.5	2.9
2014-10	3.3	2.5	3.6	2.9
2014-11	3.5	2.6	3.7	3
2014-12	3.7	2.7	4	3.3
2015-01	3.9	2.8	4.2	3.4
2015-02	3.8	2.7	4.2	3.3
2015-03	3.8	2.7	4.1	3.2
2015-04	3.7	2.7	3.9	3.1
2015-05	3.5	2.7	3.8	3
2015-06	3.5	2.6	3.7	3
2015-07	3.4	2.7	3.9	3
2015-08	3.5	2.6	4	3
2015-09	3.6	2.7	4	3.1
2015-10	3.6	2.7	4	3.1
2015-11	3.7	2.9	4.2	3.3
2015-12	3.8	3.1	4.5	3.5
2016-01	4	3.1	4.8	3.6
2016-02	4.1	3.1	4.8	3.6
2016-03	4	3.1	4.7	3.5
2016-04	4	3	4.4	3.3
2016-05	3.9	2.9	4.3	3.2
2016-06	3.8	3	4.3	3.1
2016-07	3.6	2.9	4.5	3.1
2016-08	3.7	3	4.7	3.2
2016-09	3.7	3	4.6	3.2
2016-10	3.7	2.9	4.6	3.2
2016-11	3.9	3	4.6	3.3
2016-12	4.1	3.1	5.1	3.5
2017-01	4	3.1	5.3	3.5
2017-02	3.9	3.1	5.3	3.4
2017-03	3.9	3	4.9	3.3
2017-04	3.7	2.9	4.7	3.2
2017-05	3.5	2.8	4.4	3
2017-06	3.5	2.8	4.3	2.9
2017-07	3.4	2.8	4.4	2.9
2017-08	3.5	2.8	4.7	2.9
2017-09	3.3	2.7	4.4	2.9
2017-10	3.4	2.7	4.3	2.9
2017-11	3.4	2.8	4.3	3
2017-12	3.6	2.9	4.7	3.2
2018-01	3.7	3	4.7	3.2
2018-02	3.5	2.9	4.4	3.1
2018-03	3.5	2.6	4.1	2.8
2018-04	3.3	2.4	3.8	2.6
2018-05	3.2	2.1	3.6	2.4
2018-06	3.1	2.1	3.5	2.3
2018-07	3.1	2	3.5	2.3
2018-08	3.1	2	3.6	2.3
2018-09	3	2	3.4	2.3
2018-10	3	1.9	3.4	2.3
2018-11	3.1	1.9	3.5	2.4
2018-12	3.3	2	3.7	2.6
2019-01	3.4	2.1	3.7	2.7
2019-02	3.3	2	3.6	2.6
2019-03	3.2	2	3.3	2.4
2019-04	3.1	1.9	3.2	2.3
2019-05	2.9	1.8	3.1	2.2
2019-06	2.8	1.8	3.1	2.1
2019-07	2.8	1.7	3.2	2.1
2019-08	2.8	1.8	3.4	2.1
2019-09	2.7	1.7	3.3	2.1
2019-10	2.7	1.7	3.6	2.2
2019-11	2.9	1.8	3.7	2.3
2019-12	3.1	2	4	2.5
