Wohnviertel_ID	Wohnviertel_Name	Sozialhilfequote in %	Anzahl Sozialhilfebeziehende
1	Altstadt Grossbasel	2.0614692654	55
2	Vorstädte	3.314355429	163
3	Am Ring	2.9025386118	327
4	Breite	4.6136491822	409
5	St. Alban	3.3531231708	401
6	Gundeldingen	5.7801942568	1095
7	Bruderholz	1.6421231063	155
8	Bachletten	1.9792579609	271
9	Gotthelf	4.1071691447	279
10	Iselin	9.1643404407	1543
11	St. Johann	7.1462651752	1348
12	Altstadt Kleinbasel	6.3532401525	150
13	Clara	7.3681786783	320
14	Wettstein	2.9529268716	170
15	Hirzbrunnen	4.7608858457	445
16	Rosental	7.0902394107	539
17	Matthäus	9.6908830051	1486
18	Klybeck	12.802071346	890
19	Kleinhüningen	11.713350309	322
20	Riehen	3.113569861	681
30	Bettingen	1.1254019293	14
