	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
*Haushaltsform						
Einpersonen-HH (n=506)	49.2	35	5.1	1.8	3.2	5.7
Mehrpersonen-HH (n=921)	49.7	34.2	3.9	1.1	4.6	6.5
*Geschlecht						
Männlich (n=627)	45.8	37.2	4.6	1.3	5.9	5.3
Weiblich (n=793)	52.5	32.3	4.2	1.4	2.6	7.1
*Alter						
55-64 Jahre (n=477)	50.3	33.5	6.9	1.9	4.2	3.1
65-74 Jahre (n=475)	52	33.3	3.6	0.8	3.8	6.5
>74 Jahre (n=463)	46.7	36.5	2.4	1.3	4.1	9.1
*Staatsangehörigkeit						
Schweiz (n=1 309)	50.4	33.8	4.3	1.4	3.7	6.4
Ausland (n=107)	41.1	40.2	4.7	0.9	8.4	4.7
*Haushaltseinkommen						
<5 000 Fr. (n=447)	52.3	33.1	5.8	1.8	1.3	5.6
5 000-7 499 Fr. (n=327)	48.9	37.9	6.1	0.6	2.1	4.3
>7 499 Fr. (n=449)	50.8	32.5	2.7	1.6	6.5	6
*Wahlkreis						
Grossbasel Ost (n=404)	49.3	34.2	4.5	1.7	4.5	5.9
Grossbasel West (n=438)	53.4	33.6	3.4	1.1	3.9	4.6
Kleinbasel (n=288)	49.7	34.4	4.9	0.7	3.8	6.6
Riehen, Bettingen (n=252)	44.8	35.3	5.2	2	4.8	7.9
*Befragungsjahr						
2011 (N=1 689)	47.4	37.5	5.4	0.8	2.2	6.7
2015 (N=1 427)	49.5	34.5	4.3	1.3	4.1	6.2

